Puzzle	Elapsed Minutes	Estimated Minutes	Difficulty	Improper
.....1.7...98.71....36.25...4.....98..7.......5......6..42.3.....57.64...6.5...2.	16.74	5.67	0	0
....748....5.9.7.2.6.....31.........54...6..77...8.6..37...2.1...4...38..81.6....	4.85	4.31	0	0
..2..6.7...6...54..4......2.1...4........7.5.4..56.9...5...9.3.19..7.2...782.....	16.25	14.89	1	0
..9.....3...6....5.41...7......25....3.4..216.....1..4.....24.9.541...8..8....37.	4.04	4.57	0	0
..4.....1.2.6.1.9.3.5.................8...14....91..5.6.....5.3...8..46..5..2..1.	8.92	8.95	1	0
6.......2728...4.5...5.8....42...9.....3.5.4......7...8....1..3..47.91...........	7.20	6.92	1	0
....5.2.........8..96.74........63...7..8..4..2.74............9..1...76.26...3..5	6.22	4.82	0	0
.6.....7.5..7.8.....8...32.9..3.7..1....5....6..9.4..3.51......3..1.5..4.4.....8.	17.02	13.77	1	0
...1.9...7.2.....1..56....3.4.........9.7.4......38.7.2....49..5.......6...9.5...	6.80	4.58	0	0
34...6..5..........2....86.9..8.21.7.3.....9.7..1..4.62.....94..........48.6.1.2.	5.72	4.20	0	0
..4...2.3...1....5.7.25....6....8.....9...6......6.91....4.3..88....7...43..1..6.	4.26	3.31	0	0
....265.4..8.....17.....6..85.4....9....3....9....5.7...6.4...54.....3..1...8....	5.11	5.12	0	0
....4....5...2...8.3.7.1.9.2..6.7..9.......8.15.....62.4.....3..9......5..2...7..	5.21	3.97	0	0
....3......61.48.5..47..1..2.5.....8.........1.3...4.6..19.75..3.84.57......2....	16.96	10.71	1	0
2....5...8..39..........15........7.......2.1512...49...461......69.35...3....64.	5.94	6.84	0	0
46.....35....4....8..2.......2.3.9..1.......7..3891...6..7.2..8....8.....7.....13	4.63	5.57	0	0
.6...24......7.1..7....3.6.......8..59...7..6..7.......3.8....4....2..5...81...2.	5.61	5.53	0	0
...7...5..71...6...2....1.78....34....3....9....1.7..6..9......3...58..9..5..2.8.	20.92	7.68	1	0
........8.......4....852.....86.3...9.2...3.1..14..8.....184....3.....7.4...3...9	4.94	5.63	0	1
2...6.....68.71...5......17...3...5......8.49..165..........4....2....95....1423.	4.08	4.41	0	0
..7...3.59..3.7...13..8....8....3..1...2..6.3...61..4...91....46.2.......7....95.	18.77	17.68	1	0
.915...8...6...1.7...8.6....8.43....9...........1.5.3....6.4...2.9...4...5.9.2.7.	4.87	4.27	0	0
9....5.....27...8.6.1...4.........9....3.7....9..1...6..5...2.1.7....56...96....3	9.83	7.36	1	0
...8.467...4.2.8...1..5.2..1...8..3..532....7.......2.46.......9....5.......1...8	22.06	7.03	1	0
5.....3..9...4.521....13..7871..2.3..5..7.........9....4.....9.13...........26...	5.54	4.71	0	0
....5..6.7....8..2..8..64...63...7..8.......3..1...24...741.6..4..3....5.1..7..3.	8.75	6.75	1	0
...9..7.......8.36.5.......2.3.8..9...........7..3.5.1....4..6.1327.......9..32..	13.98	10.76	1	0
8..7..6....1....89.....9...5..8..3...82.56...........73..2..7........591..5......	5.77	5.14	0	0
...21.......7.523..8...6..........146.....9.741....58....18..7..476..........2...	36.91	5.93	1	0
.1.4.6.2..8.....7.2.......6..5.1.9...........937...215..13.48..62.1.5.47...2.7...	3.66	3.36	0	0
1...3..........9.49..827....9.2..1.7.........8.7..569....596..23.8..........4...6	5.18	3.80	0	0
.....9....3.6..4..2.6..5.79........76.....8...458.6..3..1......3..1...2...7.235.4	15.46	10.05	1	0
..8...6..72.....581..5.4..29..8.1..3...........3...27...6...9...4.6.3.8.....2....	9.81	5.03	0	0
9.3...7.8..17.52..7...1...9.674.839...........981.765.6...8...3..25.69..8.9...4.5	3.56	3.01	0	0
6.2..9....816....5.7.35......4..2....3.....6....5..1......1..9.8....524....2..8.6	21.42	16.26	1	0
..1...7..2..7.5..9...3.6....3..5..1.5.......661.....273.7..26.8..8...2.......3...	11.81	8.90	1	0
..84.......4.5...1..3..8........487.8.19..6.2..28.....2..1..4..6...3.1.......93..	6.05	4.67	1	0
.........47..2..59.26...81..............6.4..75.9...31...3.6...9.......7.1.7.5.8.	7.01	4.15	0	0
.89...34.1.4...8.7.....6.....18.49...9.....5.8.5...6.....5.1.2........1.3....9...	5.05	4.32	0	0
...7...5.3.7........4.69.2..319.....9.......8.....214..9.34.5........3.6.7...8...	12.96	9.77	1	0
27.68..53............5.7..4.267...8............43.9.2.9....3..8..........6.14..97	4.87	5.26	0	0
6.7...4..3....8.7..5.6..9...2........7....5..5....6..2...5.2..3.1.........9.7..8.	10.39	7.25	1	0
4....1..2...........8.743..74....8....2...6..6.9...41...5.689.....9.....1..2.3...	10.25	6.99	0	0
....5....3..6..1.77.289..5........1.9.3...4...8.4..5...3.......6..7.29..27....3.5	10.44	8.65	0	0
