Generating 10000 puzzles from seed 0x1342990f0d0
Start	Generator	Gen Micros	Seed	BASE:Num Solutions	Num Steps	Micros	LIST:Num Solutions	Num Steps	Micros	SHUFFLE:Num Solutions	Num Steps	Micros	CYCLE10:Num Solutions	Num Steps	Micros	CYCLE25:Num Solutions	Num Steps	Micros	CYCLE60:Num Solutions	Num Steps	Micros
2.9...4.11.......3.........6.......99.......73.......2.........8.......57.4...1.6	DOUBLE_MIRROR	218	0xa5bcf598da7f50d4	2	28	640	2	28	3762	2	23	360	2	23	356	2	26	346	2	25	353
.........5.84....7....7.43......3......9.5......6......87.5....2....91.4.........	CLASSIC	158	0x110f5d4babd33777	2	18	342	2	18	689	2	22	349	2	17	364	2	27	372	2	22	382
5.6.7.....9.....2....4........9.1.7..7..3..........2...2....4.6....6..9.6........	BLOCKWISE	182	0x7495e27970682175	2	19	349	2	19	429	2	21	348	2	15	342	2	18	368	2	18	340
.....58.4.....4..1.8.......2.9.....8..3.....6....2......14.8.....7..2..........8.	BLOCKWISE	171	0x46554bcee7af48d8	2	22	362	2	22	373	2	21	350	2	18	369	2	23	339	2	17	353
..2......5.1...9........1.....3.52.77..........98.6........3....5.............4.8	RANDOM	180	0xf25eab2f531e443c	2	20	373	2	20	382	2	20	397	2	19	363	2	22	378	2	27	370
.............4...............3...7...67...94..1.....5...........2..9..3.3..167..5	MIRROR	156	0x5cfabbc31c82bb67	2	22	390	2	22	370	2	28	414	2	24	486	2	25	404	2	27	359
..................6.72.5.9.15.....6.4..1....7.......4.58......9........6.1.......	RANDOM	158	0xbc6ed8206d144498	2	23	345	2	23	351	2	25	336	2	24	351	2	25	364	2	25	348
8.3..6......1..........7.4........38..7....6.2..6...................4..71.9....2.	RANDOM	154	0x3f8cb7c868bb7b50	2	30	372	2	30	379	2	18	338	2	22	457	2	21	470	2	21	476
5....3...2...6...1.16.........58.....7.....5.....42.........54.3...5...6...4....3	CLASSIC	184	0xc33ff7f0145a1c91	2	20	404	2	20	395	2	18	355	2	15	357	2	17	334	2	17	338
.....9..4....8......7....6.....38.....62.41.....17.....6....2......1....8..7.....	CLASSIC	168	0x1af82f4b157864d0	2	19	349	2	19	358	2	19	332	2	17	334	2	18	353	2	23	349
.........7.......332.....174.......55.......22.......886.....241.......6.........	DOUBLE_MIRROR	203	0x3b97efad420168f3	2	26	356	2	26	361	2	24	359	2	24	350	2	25	380	2	25	339
4.5.....71....8.........64........8.8.......4.2........71.........5....12.....8.3	CLASSIC	169	0x7b07a70998a5ec1b	2	21	344	2	21	360	2	19	329	2	19	348	2	21	329	2	21	330
4.....8.3......45....3.....9.16.....67.............3.....9.47.....81....7........	BLOCKWISE	183	0xeabf5559118e57ca	2	23	370	2	23	358	2	23	384	2	16	366	2	19	375	2	22	398
