4.3.7......9.21.....79..3.2...5.9.6......8.735.4..69...3....4.7.45.....82..4.7..5	["17684,-1,12,3","21234,-1,27,3","22673,-1,49,3","24136,-1,68,3","25383,-1,79,3","29205,-1,1,2","35113,-1,59,2","38683,-1,52,2","40037,-1,69,2","48834,-1,69","49453,-1,52","60047,-1,23,4","62666,-1,35,4","63936,-1,16,4","66510,-1,40,4","71270,-1,5,5","75021,-1,42,5","76754,-1,25,5","78440,-1,10,5","81385,-1,58,5","97708,-1,63,7","101006,-1,48,7","102636,-1,28,7","104440,-1,15,7","113577,-1,22,8","115103,-1,9,8","135849,-1,57,8","145021,-1,8,9","156624,-1,53,1","168808,-1,17,6","171761,-1,3,6","198544,-1,52,2","200260,-1,69,2","202047,-1,39,2","203352,-1,29,2","206919,-1,33,8","208487,-1,7,8","210253,-1,46,8","211750,-1,74,8","215768,-1,6,1","219610,-1,31,1","221797,-1,66,1","223353,-1,61,1","224927,-1,73,1","226620,-1,18,1","228226,-1,38,1","230640,-1,19,6","232075,-1,36,6","233633,-1,56,6","235664,-1,78,6","237194,-1,67,6","239859,-1,70,9","241310,-1,76,9","242628,-1,54,9","243764,-1,37,9"]
..6..........6.1..8.15..6.......5......2.8.4.9..7.32....8.....4.6.9..7.22..1....9	["18454,-1,5,1","32421,-1,6,4","45475,-1,30,6","47653,-1,36,6","49991,-1,53,6","66506,-1,55,9","70904,-1,11,9","75299,-1,23,9","77498,-1,7,9","108615,-1,29,2","161086,-1,12,4","162541,-1,19,4","190275,-1,3,8","193774,-1,57,3","347565,0,14,2","349201,0,1,2","351132,0,25,2","360473,0,68,4","362209,0,74,4","363638,0,27,4","364974,0,49,4","370238,0,46,1","377052,0,28,8","379206,0,52,8","380607,0,78,8","381815,0,67,8","387048,0,17,8","423168,0,60,5","425151,0,76,5","430533,0,44,5","434364,0,16,5","436259,0,0,5","450772,-1,14,7","458933,-1,59,2","466019,-1,77,6","467944,-1,61,6","473737,-1,68,4","476039,-1,74,4","477673,-1,27,4","479179,-1,49,4","481323,-1,46,1","488314,-1,28,8","490097,-1,52,8","491540,-1,78,8","493571,-1,17,8","495038,-1,67,8","514853,-1,38,7","527638,-1,70,1","530449,-1,54,1","534813,-1,79,3","545825,-1,37,3","547348,-1,33,3","549252,-1,9,3","550634,-1,65,3","555056,-1,60,5","556414,-1,76,5","557779,-1,63,5","559278,-1,47,5","561051,-1,44,5","562456,-1,16,5","564049,-1,1,5","567031,-1,0,7","568592,-1,73,7","570217,-1,58,7","579216,-1,35,1","583063,-1,40,1","585538,-1,31,9","587221,-1,42,9","590179,-1,34,7","591860,-1,26,7","595432,-1,25,2","597068,-1,10,2","598577,-1,4,2","600721,-1,22,3","601788,-1,8,3"]
.....2.....3.97....6.....3......47...9....12...45......2....65....38.4...1.7.....	["97127,0,76,2","100450,0,76","133139,-1,76,2","136387,-1,71,2","140314,-1,30,2","141655,-1,45,2","142880,-1,20,2","144337,-1,15,2","147241,-1,4,3","156552,-1,44,4","159567,-1,72,4","168271,-1,22,5","174935,-1,21,4","176497,-1,58,4","183426,-1,35,5","185348,-1,6,5","213292,-1,50,9","214787,-1,57,9","216591,-1,34,9","249001,-1,59,1","251543,-1,70,1","258240,-1,49,1","270355,-1,41,3","274239,-1,28,3","283317,-1,54,3","294430,-1,39,8","295973,-1,23,8","299125,-1,40,7","301708,-1,31,6","311443,-1,46,7","325959,-1,27,8","338143,-1,29,1","410515,-1,64,5","413337,-1,9,5","414678,-1,38,5","416771,-1,77,5","420426,-1,68,6","422186,-1,74,6","423578,-1,36,6","432635,-1,56,8","440164,-1,62,7","442082,-1,7,7","443652,-1,18,7","445506,-1,65,7","448063,-1,63,9","449687,-1,2,9","456098,-1,79,8","461127,-1,52,6","466690,-1,16,4","468648,-1,1,4","470944,-1,0,1","472266,-1,12,1","473776,-1,26,1","476372,-1,3,6","477974,-1,17,6","480978,-1,10,8","482711,-1,8,8","484318,-1,51,8","486546,-1,53,3","488022,-1,78,3","490675,-1,80,9","491916,-1,24,9"]
.57..82.....5.1......7.4..3......8...4.....6.6.3...7.11....2......3......98..517.	["5678,-1,67,1","8524,-1,7,1","21919,-1,72,3","23696,-1,10,3","25651,-1,4,3","54150,-1,17,7","65834,-1,71,8","126378,-1,80,2","138552,-1,32,6","152674,-1,41,3","154130,-1,34,3","156038,-1,60,3","162140,-1,68,7","163833,-1,55,7","170175,-1,50,9","212596,-1,52,2","256699,-1,49,5","259204,-1,48,4","261690,-1,76,4","264368,-1,75,6","267954,-1,3,9","269897,-1,58,9","273857,-1,57,8","275783,-1,46,8","283809,-1,40,8","286334,-1,31,7","288174,-1,36,7","307458,-1,8,6","310528,-1,0,4","318437,-1,69,6","320561,-1,56,6","321860,-1,19,6","323184,-1,13,6","325596,-1,22,2","328151,-1,70,9","339755,-1,35,4","341681,-1,61,4","343121,-1,15,4","345830,-1,62,5","347609,-1,42,5","349037,-1,25,5","351911,-1,44,9","353376,-1,24,9","360303,-1,16,8","363495,-1,18,8","366935,-1,20,1","368206,-1,28,1","369407,-1,39,1","372134,-1,30,2","373522,-1,38,2","375381,-1,9,2","377015,-1,64,2","380193,-1,11,9","381572,-1,27,9","385092,-1,29,5","386664,-1,63,5","389204,-1,65,4"]
..67.5......23..7.2....4..169..2.....3.1..7.95.7......31..9..2..2....8......4....	["9745,-1,29,1","24086,-1,38,2","28733,-1,77,2","34839,-1,20,3","66305,-1,19,7","72574,-1,32,7","74256,-1,67,7","76015,-1,72,7","77647,-1,62,7","103014,-1,68,1","107829,-1,4,1","109367,-1,9,1","157359,-1,73,6","167419,-1,10,5","188332,-1,21,9","191663,-1,22,8","196134,-1,14,6","201621,-1,14","203239,-1,22","208841,-1,21","273304,-1,40,5","305225,-1,50,3","361116,0,36,8","370864,0,1,8","376076,0,46,4","380158,0,30,4","381539,0,43,4","417803,0,41,6","424762,0,22,6","431736,0,59,8","434354,0,21,8","435810,0,49,8","438820,0,17,8","440867,0,34,8","444856,0,48,9","446246,0,14,9","447948,0,0,9","455566,0,11,4","460122,0,63,4","461571,0,60,4","463198,0,8,4","465782,0,6,2","467835,0,53,2","470937,0,7,3","494288,0,57,6","501608,0,74,8","510405,0,65,9","519635,0,15,6","521916,0,52,6","524464,0,71,6","530256,0,51,1","531888,0,79,1","534638,0,78,9","536058,0,25,9","538804,0,24,5","540919,0,35,5","544208,0,70,5","545642,0,75,5","548648,0,56,5","551024,0,66,3","553363,0,80,3","555053,0,33,3","562320,1,46,8","566074,1,0,8","569738,1,11,9","572074,1,63,9","575696,1,1,4","578052,1,36,4","589903,1,22,8","600658,1,49,6","605892,1,43,6","615732,1,41,8","635861,-1,36,8","637523,-1,1,8","647982,-1,46,4","649645,-1,30,4","651211,-1,43,4","658478,-1,41,6","659841,-1,22,6","666845,-1,49,8","669941,-1,48,9","678510,-1,14,9","680136,-1,0,9","685710,-1,21,8","687872,-1,17,8","689281,-1,34,8","692575,-1,11,4","694227,-1,63,4","695719,-1,60,4","697400,-1,8,4","701598,-1,15,6","704592,-1,57,6","711278,-1,59,8","712873,-1,74,8","715806,-1,65,9","718348,-1,56,5","728628,-1,6,2","729975,-1,53,2","733184,-1,7,3","748130,-1,52,6","749792,-1,71,6","752311,-1,51,1","754286,-1,79,1","759412,-1,66,3","761625,-1,75,5","763362,-1,70,5","764632,-1,24,5","765981,-1,35,5","768175,-1,25,9","769671,-1,78,9","771841,-1,80,3","773364,-1,33,3"]
6..8.3....2..1....4....25..1.4.......394..7........6.9..26....78...4..9....7....8	["26244,-1,52,4","39089,-1,14,4","40919,-1,8,4","52629,-1,28,6","57139,-1,41,6","59400,-1,22,6","68537,-1,4,7","70417,-1,32,7","97381,-1,12,5","105120,-1,21,9","118740,-1,31,9","156309,-1,40,8","265462,-1,59,8","274236,-1,36,5","286020,-1,45,2","287969,-1,30,2","289516,-1,76,2","345982,0,9,7","347661,0,25,7","390093,-1,9,7","392151,-1,25,7","405966,-1,77,9","407503,-1,54,9","409991,-1,72,3","452053,-1,1,9","453626,-1,15,9","458270,-1,2,5","478961,-1,16,8","480444,-1,33,8","489676,-1,17,6","496393,-1,26,3","498695,-1,11,3","501138,-1,34,3","507836,-1,35,5","518908,-1,44,1","523114,-1,43,2","524558,-1,6,2","526825,-1,71,2","530326,-1,7,1","539906,-1,69,3","541328,-1,58,3","542494,-1,48,3","544809,-1,50,1","546324,-1,66,1","549744,-1,68,5","551420,-1,49,5","560706,-1,79,6","562169,-1,65,6","564208,-1,64,7","565603,-1,47,7","568854,-1,46,8","570320,-1,20,8","572619,-1,19,1","573965,-1,74,1","575587,-1,60,1","579552,-1,78,4","581425,-1,55,4","584208,-1,73,5","585467,-1,61,5"]
5......1...67...4.8....12...8.9......2...68..6..13........9.3..1.......2..45..9..	["5019,-1,10,1","9041,-1,33,1","10546,-1,38,1","12214,-1,76,1","13495,-1,62,1","31851,-1,69,4","62053,-1,6,6","77048,-1,50,8","89091,-1,79,8","116488,-1,51,7","123514,-1,15,5","124742,-1,22,5","126089,-1,32,5","135531,-1,44,5","145169,-1,31,2","146705,-1,52,2","179606,-1,27,4","183942,-1,53,4","196569,-1,39,4","200606,-1,40,7","202086,-1,29,7","226618,-1,36,3","236084,-1,43,9","260742,-1,9,9","263106,-1,5,9","264480,-1,26,9","274538,-1,14,2","276463,-1,57,2","278115,-1,72,2","280299,-1,2,2","283108,-1,54,7","337303,-1,56,8","361118,-1,21,6","362570,-1,67,6","373112,-1,3,3","376283,-1,17,3","377500,-1,34,3","380050,-1,35,6","381270,-1,61,6","382862,-1,73,6","390295,-1,77,3","396133,-1,55,5","397441,-1,47,5","399839,-1,46,9","401207,-1,65,9","403416,-1,64,3","405083,-1,20,3","408141,-1,4,4","409571,-1,19,4","413518,-1,59,4","417154,-1,1,7","418810,-1,25,7","422385,-1,80,7","423900,-1,68,7","429809,-1,70,5","433503,-1,66,8","434957,-1,13,8","435944,-1,8,8"]
...9.2...1...8.59....1..3..74......5.........9..3..7.6..5.......31.5...2...4.7...	["9614,-1,25,2","28236,-1,79,5","32168,-1,23,5","38251,-1,39,5","40606,-1,46,5","41857,-1,0,5","53456,-1,55,7","56519,-1,70,7","61663,-1,40,7","63161,-1,12,7","86198,-1,37,1","99104,-1,36,3","100467,-1,34,3","126845,-1,10,2","154692,-1,14,6","160151,-1,38,6","173397,-1,42,2","189185,-1,4,3","190729,-1,11,3","192602,-1,59,3","194015,-1,80,3","197424,-1,22,4","205113,-1,17,4","207195,-1,2,4","231249,-1,20,7","233801,-1,8,7","245560,-1,26,8","247071,-1,1,8","258603,-1,19,9","260133,-1,74,9","266585,-1,18,6","268072,-1,73,6","305127,-1,44,9","326380,-1,62,1","328010,-1,76,1","341392,-1,72,2","349747,-1,78,8","355625,-1,33,1","356779,-1,7,1","358353,-1,50,1","361200,-1,6,6","362315,-1,61,6","364544,-1,66,6","366130,-1,31,6","368963,-1,32,9","370462,-1,58,9","371883,-1,69,9","374341,-1,60,4","377001,-1,63,4","383044,-1,41,4","384244,-1,52,4","386857,-1,43,8","389182,-1,30,8","390499,-1,47,8","391744,-1,68,8","393323,-1,54,8","395626,-1,29,2","396890,-1,49,2","397977,-1,57,2"]
..132.........415.7........9....8...8......41.627......4.....96....6.3.5..3.7..2.	["3398,-1,70,1","32311,-1,66,4","51749,-1,72,6","60317,-1,5,7","66606,-1,17,7","68547,-1,60,7","72255,-1,34,7","279585,-1,7,6","323829,0,31,4","325954,0,45,4","327486,0,20,4","331658,0,11,6","339630,0,65,9","342624,0,56,8","351258,-1,49,4","353185,-1,29,4","354615,-1,0,4","360156,-1,1,5","404403,-1,52,8","407601,-1,25,3","485386,1,45,3","487600,1,35,3","490803,1,10,3","496226,1,9,2","498192,1,64,2","505085,1,19,8","510768,1,65,8","517223,1,73,9","519580,1,68,9","528446,1,54,1","530583,1,28,1","533430,1,50,1","535371,1,75,1","537091,1,22,1","540422,1,38,5","543945,1,63,5","574585,-1,9,3","583270,-1,10,2","613204,-1,63,2","639603,-1,73,9","644858,-1,19,8","657528,-1,54,1","660852,-1,28,1","662623,-1,50,1","664536,-1,75,1","666123,-1,22,1","669499,-1,37,3","671360,-1,31,3","673144,-1,53,3","674462,-1,59,3","677449,-1,38,7","678927,-1,64,7","683454,-1,45,5","686201,-1,56,5","688407,-1,77,5","690801,-1,21,5","692383,-1,40,5","693869,-1,33,5","701208,-1,42,6","702988,-1,30,6","704494,-1,23,6","705822,-1,11,6","709172,-1,20,9","714108,-1,68,9","715679,-1,39,9","717407,-1,13,9","718985,-1,51,9","720822,-1,8,9","723535,-1,6,8","724977,-1,12,8","727095,-1,58,8","729076,-1,65,8","731262,-1,80,8","733918,-1,78,4","735593,-1,26,4","738712,-1,24,2","740883,-1,35,8","745167,-1,35,2","746864,-1,41,2","748336,-1,57,2"]
.29.6...5...5..64..3.........8..3.9...1...2...4.8..5.........6..74..8..22...5.48.	["7959,-1,25,2","12174,-1,47,2","46132,-1,0,4","65133,-1,11,7","70288,-1,44,8","74220,-1,22,8","75510,-1,6,8","96575,-1,70,5","123217,-1,41,5","135420,-1,35,4","161885,-1,53,6","164917,-1,77,6","166327,-1,63,6","167819,-1,20,6","171829,-1,18,5","173301,-1,28,5","175084,-1,56,5","183319,-1,37,6","185449,-1,30,6","196818,-1,74,3","204905,-1,17,3","210613,-1,3,3","265151,-1,31,2","266399,-1,14,2","268228,-1,57,2","271373,-1,13,9","280799,-1,27,7","283407,-1,33,1","284956,-1,7,1","294571,-1,5,7","441581,0,55,9","445213,0,50,9","446599,0,36,9","449041,0,45,3","450625,0,43,3","453194,0,52,7","458835,0,49,1","460566,0,66,1","463412,0,23,1","465860,0,21,4","467237,0,40,4","468607,0,59,4","471980,0,39,7","474659,0,58,7","477577,0,80,7","479070,0,24,7","483065,0,26,9","486690,0,69,9","488367,0,75,9","493040,0,67,3","494505,0,60,3","498035,0,62,1","504953,1,73,9","509233,1,80,1","516380,1,75,7","569047,1,75","569115,1,80","570154,1,73","580337,1,24,9","590715,1,60,7","592839,1,75,7","598074,1,69,3","600044,1,58,3","603130,1,59,4","604833,1,21,4","606240,1,40,4","609456,1,49,7","610946,1,43,7","613011,1,52,3","614572,1,36,3","616602,1,45,9","618516,1,39,9","631173,-1,26,9","639925,-1,24,7","8924442,2,60,9","8926183,2,73,9","8927741,2,66,9","8929371,2,50,9","8933529,2,36,9","8935925,2,45,3","8937597,2,43,3","8939695,2,52,7","8945771,2,69,3","8947678,2,58,3","8954289,2,75,7","8956179,2,40,7","8962653,2,62,7","8974520,2,59,4","8985333,-1,69,9","8990143,-1,60,3","8991798,-1,67,3","9037233,-1,66,1","9038664,-1,23,1","9040045,-1,49,1","9048939,-1,21,4","9049906,-1,40,4","9051174,-1,59,4","9053727,-1,75,9","9055254,-1,55,9","9058012,-1,54,8","9060374,-1,10,8","9063209,-1,9,1","9064870,-1,73,1","9066160,-1,62,1","9069146,-1,80,7","9071002,-1,58,7","9072160,-1,39,7","9073541,-1,52,7","9075466,-1,43,3","9077066,-1,45,3","9079198,-1,36,9","9080457,-1,50,9"]
