.....2...7..935..2..8...3...9.5...71..4...8...7.4.8.35..1..........71..6...2.4...	["22129,-1,33,4","43556,-1,74,7","53924,-1,27,8","57760,-1,16,8","71624,-1,44,9","73825,-1,49,9","74601,-1,59,9","94917,-1,45,1","164180,-1,60,7","192972,-1,10,4","266420,-1,15,1","267255,-1,79,1","271894,-1,11,6","273201,-1,51,6","274861,-1,47,2","275992,-1,43,2","276969,-1,31,2","285765,-1,69,2","331522,-1,32,6","339950,-1,41,3","340950,-1,29,3","371013,-1,39,7","371770,-1,23,7","373170,-1,8,7","374795,-1,26,4","377243,-1,4,4","380055,-1,3,8","383586,-1,64,8","387317,-1,40,1","387988,-1,21,1","389683,-1,1,1","392990,-1,22,6","394260,-1,57,6","423221,-1,66,3","428634,-1,0,3","460771,-1,7,6","531964,0,54,4","533082,0,70,4","540045,0,55,2","541469,0,18,2","543033,0,2,9","544516,0,25,9","545491,0,78,9","547998,0,63,9","552033,0,73,3","553514,0,62,3","555266,0,80,8","557079,0,58,8","562689,0,76,5","564618,0,65,5","565407,0,61,5","566183,0,6,5","567018,0,19,5","570065,0,36,5","577663,1,63,4","578710,1,61,4","602775,1,61","604526,1,63","615533,1,70,9","628034,1,72,9","633572,-1,78,9","637112,-1,25,9","637924,-1,2,9","640405,-1,63,9","646648,-1,65,5","647436,-1,61,5","648153,-1,6,5","654233,-1,54,4","655314,-1,70,4","660043,-1,55,2","661111,-1,18,2","663733,-1,19,5","664568,-1,36,5","665697,-1,37,6","666390,-1,72,6","669166,-1,73,3","670130,-1,62,3","671905,-1,80,8","672799,-1,58,8","675045,-1,76,5"]
..4.....5.5.....8.1.....3.6..7.35....6..1.7..4.16..........7.396...2..4....5.16..	["32609,-1,22,5","36751,-1,52,5","48433,-1,34,6","50799,-1,11,6","53803,-1,58,6","54736,-1,5,6","58234,-1,49,7","118086,-1,76,4","119599,-1,55,4","122024,-1,64,1","124218,-1,60,1","125707,-1,35,1","126435,-1,7,1","127636,-1,12,1","137024,-1,57,8","139415,-1,4,8","140501,-1,13,9","156820,-1,69,5","187091,-1,71,7","190568,-1,80,9","190707,-1,79,9","191862,-1,80,7","193017,-1,80,8","194554,-1,79,2","204026,-1,25,7","207318,-1,3,7","208371,-1,9,7","209386,-1,73,7","212634,-1,43,9","214656,-1,6,9","223945,-1,14,3","226106,-1,66,3","227712,-1,68,9","228682,-1,30,9","229733,-1,46,9","230796,-1,20,9","232056,-1,72,9","233789,-1,74,3","235753,-1,36,3","237070,-1,1,3","238641,-1,38,5","240514,-1,54,5","244685,-1,56,2","247562,-1,0,2","248452,-1,28,2","260041,-1,27,8","261498,-1,19,8","263358,-1,65,8","266906,-1,51,8","267403,-1,41,8","274487,-1,39,4","275330,-1,33,4","276209,-1,17,4","280243,-1,23,4","281976,-1,50,2","282588,-1,21,2","283559,-1,15,2","285027,-1,44,2","289396,-1,53,3"]
.9.5.2.8...3.6.2.....3.1...91.....4.7..6....128..........4.5.......8.3...6.2.3.9.	["17272,-1,37,3","18323,-1,54,3","19977,-1,8,3","22208,-1,52,3","23133,-1,31,3","65448,-1,68,6","110626,-1,40,2","112050,-1,35,2","154562,-1,49,5","165389,-1,48,1","223147,-1,42,8","240590,-1,41,9","242156,-1,50,4","243106,-1,38,4","245147,-1,29,5","247642,-1,47,6","248744,-1,33,6","251087,-1,0,6","258929,-1,43,5","368214,0,66,7","369196,0,32,7","373645,0,58,9","376550,0,65,9","377489,0,12,9","386539,0,14,8","387252,0,30,8","396356,0,76,1","415175,0,76","415455,0,30","415736,0,14","416016,0,12","416341,0,65","416654,0,58","417238,0,32","418566,0,66","427888,0,30,7","430048,0,14,7","447801,0,22,9","449022,0,66,9","449714,0,56,9","451487,0,17,9","452276,0,51,9","453918,0,53,7","461623,0,4,4","479993,0,62,8","532906,0,61,6","535531,0,26,6","547059,0,70,2","548593,0,55,2","549264,0,20,2","554472,0,18,8","555379,0,74,8","565308,0,16,1","567113,0,2,1","569436,0,63,1","588057,0,24,4","599674,-1,32,7","601380,-1,30,8","603250,-1,14,8","637532,1,61,6","639455,1,70,2","643452,1,16,1","645224,1,2,1","648152,1,63,1","657766,1,25,7","658868,1,10,7","659819,1,4,7","661125,1,66,7","671668,1,26,6","680147,1,22,4","682286,1,9,4","685430,1,6,4","689914,1,64,4","690897,1,80,4","712662,1,72,5","714985,1,19,5","716574,1,17,5","724260,-1,62,6","724410,-1,71,6","725534,-1,25,6","733782,-1,71","743229,-1,80,8","745109,-1,56,8","746103,-1,18,8","779967,-1,65,9","781003,-1,58,9","781727,-1,12,9","786287,-1,66,7","797374,-1,20,2","839907,-1,76,1","842553,-1,2,1","844584,-1,16,1","845816,-1,60,1","846873,-1,63,1","873813,-1,61,7","875195,-1,74,7","886483,-1,70,2","887477,-1,55,2","956160,2,51,7","958202,2,4,7","963159,2,53,9","963796,2,24,9","971476,2,22,4","972362,2,6,4","973279,2,71,4","974503,2,72,4","975806,2,10,4","978981,2,19,7","979922,2,16,7","983357,2,16","984610,2,17,7","986727,2,26,5","988218,2,78,5","989179,2,64,5","991048,2,9,5","995251,3,51,9","996342,3,26,9","999766,3,53,7","1009522,3,10,7","1041523,3,10","1041976,3,53","1042982,3,26","1043684,3,51","1052792,3,78,4","1054229,3,64,4","1055494,3,9,4","1059058,3,26,4","1060086,3,4,4","1062528,3,22,7","1063349,3,10,7","1064311,3,6,7","1065132,3,53,7","1078444,-1,71,4","1080335,-1,78,5","1081891,-1,64,5","1083220,-1,9,5","1086137,-1,26,5","1088385,-1,24,9","1089088,-1,53,9","1090709,-1,51,7","1094060,-1,17,7","1095507,-1,19,7","1096263,-1,4,7","1098252,-1,72,4","1099354,-1,10,4","1099894,-1,22,4","1100434,-1,6,4"]
..2.....18..7..2.9.5.1.8.3....5.1.....8...3.....4.9..........2.1.5..2..49.....7.6	["10890,-1,22,2","18751,-1,73,2","21382,-1,39,2","26945,-1,62,3","114413,-1,26,7","119450,-1,44,5","121910,-1,45,5","125956,-1,27,2","127001,-1,53,2","128468,-1,35,8","130000,-1,49,8","136149,-1,20,9","165395,-1,31,3","169171,-1,0,3","170315,-1,14,3","188001,-1,1,7","192404,-1,54,7","193289,-1,67,7","193905,-1,41,7","195114,-1,40,6","200876,-1,18,6","205086,-1,16,6","215012,-1,24,4","222603,-1,36,4","224081,-1,34,4","247117,-1,13,5","345404,0,37,1","347445,0,43,9","348158,0,69,9","350113,0,70,8","350761,0,6,8","352003,0,7,5","352954,0,60,5","354627,0,77,5","357145,0,70,1","360483,0,70,8","361520,0,79,1","363582,0,51,1","365116,0,58,1","367784,0,11,1","369329,0,10,4","383330,0,33,6","389445,0,52,7","390191,0,29,7","395053,0,28,9","399819,0,4,9","403687,0,5,4","405492,0,76,4","406702,0,56,4","410755,0,47,5","412289,0,47,6","417606,0,46,3","418471,0,74,3","419486,0,66,3","422156,0,64,6","424728,0,3,6","425765,0,59,6","438595,-1,55,8","441037,-1,75,8","445274,-1,10,4","452192,-1,11,1","481626,1,37,9","484458,1,33,9","485248,1,70,9","504696,1,46,1","506221,1,43,1","507032,1,60,1","507918,1,76,1","512696,1,79,5","514956,1,59,5","531465,1,52,7","535790,-1,52,7","538612,-1,29,7","567719,-1,51,6","568518,-1,28,6","569686,-1,56,6","570281,-1,66,6","573212,-1,66","573601,-1,56","574087,-1,28","574758,-1,51","578141,1,51,6","579860,1,28,6","580855,1,56,6","581374,1,66,6","583039,1,5,6","585668,1,4,4","587039,1,77,4","592716,-1,37,1","597420,-1,43,9","598210,-1,69,9","599658,-1,70,8","601832,-1,6,8","603000,-1,7,5","604481,-1,60,5","610011,-1,77,5","612148,-1,79,1","612700,-1,51,1","614657,-1,58,1","620798,-1,57,9","622334,-1,4,9","624561,-1,5,4","625730,-1,76,4","626422,-1,56,4","629536,-1,64,6","630488,-1,47,6","631418,-1,33,6","633256,-1,59,6","633981,-1,3,6","639269,-1,28,9","642697,-1,46,3","643378,-1,74,3","643887,-1,66,3"]
.6.....7..7.8.6.5....5..............9.8...5..1.4.2.3.9.9.....12..5.3.6.....4.1...	["3283,-1,64,1","15776,-1,44,7","24932,-1,80,5","30022,-1,0,5","44376,-1,26,6","57946,-1,19,4","71594,-1,18,7","73303,-1,18,8","74619,-1,73,8","138228,-1,46,5","151655,-1,79,3","319186,0,50,7","320132,0,22,7","324691,0,52,8","332699,0,43,6","337269,0,48,6","364634,0,37,3","366788,0,37,2","368017,0,28,3","403694,0,30,9","471837,1,48,7","474144,1,50,8","477570,1,52,6","498958,1,58,8","519061,1,59,5","519833,1,31,5","579029,1,31","579387,1,59","579660,1,58","579986,1,52","580595,1,50","581085,1,48","584751,1,25,2","587277,1,33,2","588462,1,37,2","590726,1,28,3","601737,1,70,9","603609,1,76,9","620986,1,78,7","644041,1,35,1","700052,2,25,9","712304,2,78,9","740768,2,60,7","742139,2,76,7","743249,2,63,7","744021,2,29,7","747460,2,23,7","748275,2,48,7","759613,2,50,8","762012,2,58,8","766914,2,52,6","769590,2,27,6","772920,2,57,6","774018,2,74,6","776586,2,72,2","781906,2,9,3","784310,2,56,3","798337,2,54,4","838346,-1,25,2","843407,-1,70,9","849163,-1,33,2","850154,-1,37,2","866215,-1,35,1","884952,-1,78,7","900979,-1,76,9","911685,-1,28,3","931024,3,9,3","933265,3,8,3","935464,3,23,3","939947,3,56,3","958151,3,29,7","959881,3,22,7","972132,3,72,2","976222,3,74,6","977212,3,27,6","983458,3,6,8","985557,3,71,8","989365,3,60,4","990965,3,63,4","994402,3,17,4","998307,3,54,7","1012580,3,57,6","1015290,3,40,6","1016323,3,52,6","1019934,3,34,8","1020740,3,50,8","1021860,3,58,8","1023394,3,59,5","1024156,3,31,5","1027006,3,43,4","1029193,3,32,4","1030378,3,4,4","1040595,3,30,8","1042022,3,30,9","1042815,3,5,9","1053208,3,3,2","1054504,3,11,2","1055820,3,68,2","1070447,-1,9,2","1076780,-1,74,2","1078236,-1,72,6","1078944,-1,29,6","1081240,-1,27,7","1083200,-1,56,7","1086846,-1,22,7","1099295,-1,54,3","1101418,-1,64,5","1103138,-1,63,5","1103999,-1,63","1104783,-1,64,1","1107276,-1,63,4","1109094,-1,60,4","1113079,-1,71,8","1115441,-1,6,8","1160924,-1,57,6","1162687,-1,40,6","1163502,-1,52,6","1165756,-1,34,8","1166540,-1,50,8","1167661,-1,58,8","1169489,-1,59,5","1170198,-1,31,5","1173528,-1,48,7","1174312,-1,68,7","1175933,-1,66,2","1177305,-1,5,2","1181941,-1,39,1","1188418,-1,43,4","1189484,-1,32,4","1191802,-1,41,3","1193032,-1,3,3","1193924,-1,17,3","1194741,-1,20,3","1197059,-1,8,5","1199889,-1,8,4","1201815,-1,13,4","1206071,-1,30,9","1208508,-1,23,9","1209238,-1,15,9","1210413,-1,2,9","1212959,-1,24,1","1213830,-1,4,1","1214385,-1,11,1"]
..71.4....3......5..4...38.9..7....4.6.5.3.7......8..9.45...8..3......21...8.2...	["13953,-1,54,2","17541,-1,4,3","19227,-1,57,3","22804,-1,80,3","42820,-1,44,8","49664,-1,0,8","64339,-1,1,5","66781,-1,45,5","88175,-1,26,7","95306,-1,46,7","96223,-1,72,7","98790,-1,69,7","111767,-1,8,2","114071,-1,62,6","125762,-1,13,8","135801,-1,40,9","158894,-1,36,4","182079,-1,18,1","189494,-1,9,6","217722,-1,14,7","219270,-1,58,7","225079,-1,59,1","228999,-1,61,9","229916,-1,6,9","231565,-1,7,6","268493,-1,76,6","272963,-1,65,6","276425,-1,64,8","278179,-1,29,8","310420,-1,32,6","312552,-1,21,6","316804,-1,51,6","374359,0,19,2","375333,0,12,2","378851,0,48,4","379837,0,67,4","382541,0,68,5","383481,0,22,5","406273,0,23,9","407259,0,11,9","408130,0,73,9","409459,0,74,1","410353,0,28,1","411453,0,49,1","412289,0,42,1","413080,0,16,1","415395,0,15,4","416518,0,79,4","417985,0,78,5","418821,0,34,5","420517,0,33,2","426327,0,11,2","431118,0,11,9","433570,-1,11,2","437947,-1,22,2","438795,-1,48,2","440388,-1,28,2","442073,-1,42,2","445923,-1,38,1","446794,-1,73,1","448994,-1,74,9","449808,-1,19,9","450598,-1,12,9","452191,-1,68,9","453715,-1,67,5","454632,-1,23,5","462653,-1,47,3","463536,-1,34,3","471363,-1,66,4","472097,-1,49,4","474938,-1,31,1","476176,-1,52,1","476989,-1,15,1","478559,-1,16,4","479637,-1,78,4","482078,-1,79,5","482856,-1,33,5"]
..75.89...8.7...622....1......1.....6.5...2.79....6......6....3.4...7.1...14.5...	["17564,-1,58,1","21013,-1,37,1","28061,-1,4,2","50121,-1,22,6","51015,-1,1,6","52816,-1,65,6","252139,0,59,2","253718,0,73,2","256090,0,48,2","256706,0,29,2","271570,-1,59,9","276506,-1,66,2","281420,-1,32,2","329982,-1,73,9","332222,-1,71,9","342353,-1,34,9","396413,-1,79,2","403792,-1,7,3","413175,-1,43,8","424608,-1,48,8","526788,1,41,3","527862,1,21,3","531749,1,13,9","533049,1,20,9","539231,1,39,9","541785,1,40,4","542479,1,14,4","563426,1,0,4","568949,1,9,1","570372,1,8,1","571873,1,51,1","582963,1,11,3","588408,1,33,3","590043,1,46,3","595734,1,47,2","596553,1,55,2","602983,1,19,5","606345,1,15,5","611095,1,61,5","612921,1,63,5","623767,1,25,7","628338,1,28,7","628999,1,49,7","630209,1,31,5","632472,1,53,5","640361,1,29,4","641458,1,52,4","644348,1,60,4","645043,1,26,4","648371,1,24,8","650421,1,80,8","651306,1,67,8","653569,1,27,8","654219,1,56,8","655956,1,76,3","672169,-1,39,3","674398,-1,14,3","684560,-1,13,4","685771,-1,41,4","692090,-1,21,9","693502,-1,40,9","694466,-1,11,9","722206,2,15,1","726700,2,9,5","727563,2,55,5","728430,2,69,5","742085,2,0,1","744573,2,53,1","746086,2,8,4","751431,2,20,4","753392,2,27,4","756272,2,19,3","766526,2,56,2","776477,2,46,2","784165,2,28,7","785230,2,49,7","790990,2,31,5","831772,2,29,8","843260,2,47,3","844145,2,33,3","853683,2,52,5","855240,2,26,5","856977,2,24,8","858434,2,80,8","859196,2,67,8","860048,2,54,8","861550,2,76,3","862223,2,63,3","867726,2,72,7","869362,2,25,7","870079,2,60,7","883921,3,9,1","887183,3,8,1","889099,3,51,1","891588,3,33,3","897596,3,15,5","899949,3,19,5","903558,3,61,5","904511,3,63,5","913197,3,72,3","913914,3,67,3","916123,3,20,3","917613,3,46,3","922041,3,49,7","927052,3,78,7","927769,3,25,7","931154,3,31,5","933822,3,53,5","943171,3,0,4","947564,3,60,4","951544,3,26,4","953562,3,52,4","955029,3,29,4","961767,3,27,8","963124,3,56,8","967417,3,76,8","968201,3,69,8","975007,-1,15,1","976194,-1,0,1","979702,-1,53,1","984600,-1,9,5","986147,-1,55,5","991427,-1,69,5","997514,-1,20,4","998925,-1,27,4","1001796,-1,8,4","1004946,-1,19,3","1012748,-1,56,2","1013667,-1,46,2","1018374,-1,28,7","1019876,-1,49,7","1025425,-1,31,5","1027981,-1,52,5","1028586,-1,26,5","1031097,-1,24,8","1032868,-1,80,8","1033496,-1,67,8","1034258,-1,54,8","1035660,-1,76,3","1036500,-1,63,3","1042912,-1,72,7","1045154,-1,25,7","1045893,-1,60,7","1050893,-1,51,4","1051823,-1,61,4","1056755,-1,33,3","1058021,-1,47,3","1063256,-1,29,8","1066372,-1,78,6","1067090,-1,35,6"]
..7..9.1.4.......381......7...8.2...6.....3.4...7.6....2.....7.5.......6..12..58.	["28514,-1,70,3","29880,-1,69,2","52902,-1,60,4","54506,-1,62,1","60175,-1,80,9","63327,-1,25,4","66161,-1,3,4","91797,-1,33,7","93412,-1,37,7","95028,-1,72,7","110769,-1,51,1","121878,-1,27,1","125043,-1,53,8","126264,-1,38,8","127405,-1,64,8","150918,-1,34,6","164363,-1,8,2","167449,-1,45,2","169213,-1,43,2","178170,-1,16,5","182818,-1,35,5","188360,-1,52,9","209592,-1,54,9","215305,-1,0,3","233884,-1,65,4","246288,-1,77,4","277600,-1,73,3","279593,-1,56,6","283306,-1,76,6","340965,0,49,3","342561,0,31,4","344215,0,46,4","345778,0,29,3","348258,0,28,9","352121,0,47,5","353740,0,1,5","357070,0,10,6","359981,0,21,6","361080,0,6,6","363132,0,4,8","364320,0,15,8","367855,0,59,8","372748,0,24,9","373485,0,11,9","374742,0,20,2","376770,0,13,2","387318,0,57,3","388485,0,23,3","394173,0,22,5","402081,-1,49,4","404687,-1,28,4","407282,-1,31,3","408030,-1,46,3","410818,-1,46","411962,-1,47,3","416688,-1,46,5","418387,-1,20,5","419226,-1,4,5","423646,-1,29,9","425516,-1,10,9","426445,-1,24,9","429323,-1,1,6","430389,-1,15,6","433312,-1,21,6","434911,-1,6,8","438844,-1,11,2","440533,-1,22,2","444205,-1,23,3","446290,-1,57,3","457558,-1,59,5","458204,-1,39,5","459757,-1,40,9","460697,-1,66,9","463599,-1,58,8","465640,-1,14,8","468236,-1,41,1","469460,-1,67,1","470139,-1,12,1","472226,-1,13,7","473030,-1,68,7"]
.....2..7...98.5.4...41.8...1..2.....6.8..4....8.75....25.9............394.....5.	["44151,-1,32,4","45569,-1,67,4","46578,-1,61,4","48507,-1,45,4","49617,-1,2,4","63166,-1,66,5","63949,-1,4,5","67850,-1,19,5","77431,-1,76,6","86288,-1,3,3","89304,-1,40,3","123661,-1,41,9","131600,-1,48,1","139914,-1,30,6","159617,-1,75,2","168953,-1,57,7","173299,-1,78,7","183758,-1,34,8","264567,0,46,9","265562,0,20,9","268774,0,35,9","287330,0,44,5","288737,0,27,5","291098,0,29,3","311436,-1,43,7","322253,-1,29,9","324308,-1,1,9","331448,-1,27,7","337987,-1,36,5","338827,-1,35,5","342664,-1,46,3","343322,-1,33,3","350076,-1,38,2","360680,-1,0,8","364234,-1,64,8","377631,-1,44,1","379528,-1,60,1","381129,-1,7,1","385340,-1,6,6","387146,-1,62,6","388566,-1,52,6","391018,-1,80,8","393459,-1,59,8","396218,-1,77,3","397070,-1,54,3","401476,-1,68,1","402623,-1,74,1","403928,-1,9,1","408073,-1,18,2","410083,-1,16,2","411230,-1,69,2","411956,-1,53,2","413296,-1,70,9","414148,-1,51,9","414988,-1,26,9","417259,-1,25,3","419587,-1,11,3","422551,-1,20,6","423289,-1,14,6","424481,-1,63,6","426083,-1,65,7","426900,-1,10,7","427513,-1,23,7"]
.......8.3.682.....1..3..2.....9.31...1..375..9..7.....8..65.9...4..91.5.6.......	["13079,-1,47,3","19960,-1,64,3","25443,-1,8,3","27155,-1,79,3","28233,-1,57,3","40129,-1,4,5","65180,-1,67,8","73652,-1,44,9","81403,-1,15,9","90031,-1,54,1","93267,-1,76,1","97926,-1,40,4","122411,-1,17,1","176529,-1,37,2","187471,-1,36,8","188283,-1,20,8","189829,-1,39,6","195022,-1,70,6","225636,-1,24,5","227027,-1,10,5","289353,-1,16,7","291598,-1,14,4","301307,-1,75,4","307169,-1,52,4","390166,0,63,2","391846,0,77,2","399185,0,56,7","400410,0,66,7","401555,0,80,7","411887,0,78,9","413400,0,78,8","420575,0,78,9","420853,0,78","421075,0,80","421286,0,66","421476,0,56","421698,0,77","421987,0,63","427759,0,6,4","429161,0,28,4","430661,0,1,7","435512,0,26,6","437436,0,51,6","438903,0,27,6","440884,0,5,6","443486,0,3,1","444743,0,50,1","449069,0,32,8","452762,0,53,8","453685,0,78,8","456733,0,60,2","458579,0,63,2","459469,0,77,2","462516,0,35,2","463362,0,48,2","466398,0,2,2","469056,0,56,7","476564,-1,26,4","477988,-1,6,6","479045,-1,23,6","490813,-1,60,4","520864,1,3,1","522790,1,50,1","526173,1,32,8","535789,1,77,2","539061,1,62,2","539672,1,51,2","541342,1,30,2","545916,1,63,2","548409,1,2,2","553416,1,48,5","559893,1,56,7","562263,1,66,7","563554,1,80,7","565713,1,78,8","566448,1,53,8","567650,1,35,6","568573,1,45,6","578987,1,21,9","580612,1,0,9","581658,1,74,9","583139,1,72,5","584730,1,29,5","587856,1,1,4","589692,1,27,4","597025,2,5,1","599050,2,48,1","602388,2,30,5","603734,2,45,5","604503,2,74,5","605747,2,72,9","607762,2,2,9","608518,2,21,9","612903,2,3,7","613770,2,18,7","615061,2,56,7","615595,2,28,7","620246,2,66,7","629493,-1,3,1","630716,-1,50,1","632819,-1,32,8","635958,-1,77,2","639841,-1,66,7","648631,-1,56,7","651780,-1,5,7","653193,-1,18,7","654284,-1,28,7","657933,-1,80,7","661450,-1,62,2","663186,-1,51,2","664276,-1,30,2","665644,-1,63,2","668348,-1,2,2","672889,-1,1,4","676493,-1,27,4","681167,-1,78,8","681924,-1,53,8","685752,-1,0,8","686976,-1,0,9","687777,-1,21,9","688577,-1,74,9","689824,-1,72,5","690836,-1,29,5","691615,-1,48,5","693272,-1,35,6","694195,-1,45,6"]
