.....1.7...98.71....36.25...4.....98..7.......5......6..42.3.....57.64...6.5...2.	["34750,-1,32,5","196840,-1,25,8","305165,0,6,6","306935,0,9,6","307748,0,29,6","308526,0,40,6","379351,1,18,7","380475,1,55,7","383245,1,19,1","396584,2,22,4","397595,2,77,4","400752,2,26,9","403717,2,6,6","404824,2,9,6","408270,2,29,6","408757,2,40,6","417732,2,3,9","457527,3,22,9","458415,3,77,9","459840,3,76,5","460942,3,76,4","463307,3,3,4","464470,3,26,4","465497,3,9,4","476152,3,16,6","509723,3,6,9","582357,3,70,3","584144,3,72,3","585335,3,37,3","587774,3,42,2","595508,3,40,6","633100,3,80,7","673528,3,0,5","676331,-1,0,5","677153,-1,13,5","678586,-1,4,3","693391,3,2,6","695624,3,27,6","697413,3,1,8","705811,3,10,2","706827,3,8,2","708741,3,17,3","714524,3,63,2","723234,3,67,8","724637,3,58,1","726953,3,71,1","735511,3,74,1","737371,3,19,1","739454,3,18,7","740819,3,55,7","745327,3,64,9","746329,3,62,9","748991,3,61,5","749560,3,44,5","756522,3,30,1","759293,3,48,3","759937,3,33,3","760953,3,51,7","761504,3,31,7","762953,3,49,2","763904,3,29,2","770317,3,39,9","771282,3,45,9","774903,3,54,8","776003,3,47,8","776660,3,41,8","777841,3,50,4","778391,3,43,4","781608,3,78,8","787312,3,60,6","791174,3,52,1","792720,3,36,1","819291,2,2,4","846596,-1,9,4","848652,-1,2,6","849274,-1,16,6","851154,-1,60,6","856946,-1,1,8","860628,-1,10,2","861561,-1,63,2","878251,-1,67,8","885827,-1,8,2","896557,-1,17,3","901029,-1,70,3","903118,-1,72,3","903924,-1,37,3","907413,-1,42,2","912977,-1,40,6","915390,-1,27,6","919351,-1,80,7","956017,-1,78,8","956709,-1,54,8","957793,-1,47,8","958740,-1,41,8","968140,-1,55,7","968777,-1,18,7","969894,-1,19,1","971374,-1,74,1","972020,-1,58,1","972656,-1,71,1","975602,-1,30,1","978702,-1,48,3","979227,-1,33,3","980230,-1,51,7","980740,-1,31,7","981761,-1,49,2","982274,-1,29,2","989532,-1,44,5","990183,-1,61,5","991641,-1,62,9","992393,-1,6,9","993201,-1,22,9","994198,-1,77,9","994903,-1,39,9","995572,-1,45,9","996452,-1,64,9","998201,-1,76,4","998845,-1,50,4","999535,-1,43,4","1000398,-1,3,4","1001045,-1,26,4","1004044,-1,52,1","1004667,-1,36,1"]	
....748....5.9.7.2.6.....31.........54...6..77...8.6..37...2.1...4...38..81.6....	["30272,-1,64,1","30928,-1,64,5","46575,-1,79,7","50903,-1,20,7","57366,-1,35,8","58541,-1,38,8","63178,-1,57,8","66445,-1,53,3","73894,-1,40,3","103563,-1,78,2","106939,-1,63,2","112979,-1,56,6","114590,-1,71,6","118611,-1,27,6","129522,-1,72,9","143387,-1,24,9","144849,-1,62,9","165796,-1,0,1","172643,-1,10,3","175292,-1,29,3","193230,-1,3,3","195033,-1,77,3","207856,-1,16,4","208760,-1,18,4","211054,-1,33,4","212591,-1,80,4","213473,-1,58,4","215097,-1,48,4","218277,-1,42,1","226880,-1,9,8","228709,-1,23,8","240126,-1,12,6","242269,-1,7,6","243743,-1,8,5","245735,-1,14,1","252125,-1,46,1","264637,-1,60,5","265850,-1,75,5","266984,-1,22,5","269910,-1,21,2","271056,-1,31,2","272563,-1,47,2","273293,-1,1,2","274006,-1,43,2","275445,-1,2,9","276101,-1,28,9","278838,-1,52,9","279403,-1,39,9","280453,-1,68,9","282477,-1,30,1","283049,-1,67,1","286669,-1,66,7","287514,-1,32,7","290538,-1,50,5","291002,-1,34,5"]	
..2..6.7...6...54..4......2.1...4........7.5.4..56.9...5...9.3.19..7.2...782.....	["2368,-1,20,1","9819,-1,54,2","28049,-1,29,5","43097,-1,72,6","43858,-1,37,6","55998,-1,47,7","73488,-1,38,9","83828,-1,65,3","90257,-1,56,4","100729,-1,46,2","102943,-1,34,2","104913,-1,40,2","105861,-1,14,2","294394,0,44,4","296458,0,78,4","297470,0,66,4","298918,0,4,4","302506,0,57,6","375321,0,0,5","427334,1,42,4","445991,1,79,9","482559,1,78,1","485231,1,50,1","486896,1,44,1","488412,1,25,1","491666,-1,44,5","494992,-1,44,4","497848,-1,78,4","500088,-1,66,4","500824,-1,4,4","503646,-1,57,6","514556,-1,0,5","528442,2,62,7","529104,2,33,7","530315,2,35,6","531146,2,70,6","531769,2,24,6","574656,3,50,1","578443,3,42,1","582631,3,79,1","584565,3,58,1","588478,3,68,8","601406,3,71,5","607337,3,70,6","609932,3,24,6","610919,3,35,6","612179,3,33,7","613545,3,62,7","614792,3,60,8","623127,3,52,8","627484,3,53,3","629550,3,6,3","634482,3,10,3","643631,3,1,8","647301,3,17,8","654306,3,80,9","655362,3,25,9","656656,3,9,9","657481,3,3,9","659299,3,31,9","665641,3,18,7","667782,3,12,7","672589,3,8,1","685503,-1,39,1","692104,-1,13,1","700503,-1,77,1","708425,-1,52,1","712626,-1,58,8","717656,-1,76,3","725019,-1,68,5","725981,-1,80,5","727706,-1,22,5","729505,-1,79,9","734979,-1,31,9","771166,4,70,6","774787,4,24,6","775531,4,35,6","776645,4,33,7","777348,4,62,7","778654,4,60,1","779315,4,8,1","780817,4,71,8","782978,4,42,8","783530,4,25,8","786245,4,27,8","787317,4,50,8","793805,4,30,3","794667,4,36,3","795737,4,53,3","797103,4,6,3","798661,4,10,3","801743,4,23,3","805156,4,1,8","806170,4,12,8","808814,4,21,7","809432,4,9,7","811397,4,18,9","812532,4,3,9","813406,4,17,9","817389,5,70,8","822301,5,71,6","823649,5,33,6","824136,5,25,6","826021,5,35,7","826662,5,60,7","829507,5,62,1","831725,5,6,1","862325,6,50,3","864586,6,30,8","866566,6,23,8","868731,6,36,8","870329,6,53,8","871126,6,70,8","874216,6,6,8","875140,6,10,8","876353,6,1,3","884496,6,27,3","886225,6,42,3","889673,6,17,3","891222,6,21,3","894061,6,12,7","894627,6,18,7","900068,6,9,9","901727,6,3,9","907679,-1,50,8","910228,-1,30,3","911145,-1,23,3","913298,-1,53,3","915065,-1,6,3","915898,-1,10,3","917267,-1,1,8","933586,-1,36,3","935281,-1,27,8","936431,-1,42,8","957853,-1,3,9","960799,-1,8,1","961562,-1,60,1","962948,-1,62,7","963647,-1,33,7","964883,-1,35,6","965511,-1,70,6","966258,-1,24,6","967532,-1,71,8","968595,-1,25,8","969456,-1,12,8","972059,-1,21,7","972741,-1,9,7","974132,-1,18,9","975016,-1,17,9"]	
..9.....3...6....5.41...7......25....3.4..216.....1..4.....24.9.541...8..8....37.	["6054,-1,80,1","13578,-1,71,2","33611,-1,27,4","36899,-1,28,1","37917,-1,54,1","47863,-1,61,5","50332,-1,51,5","52894,-1,38,5","59332,-1,69,6","65595,-1,49,6","67025,-1,77,6","70820,-1,29,6","71606,-1,55,6","101319,-1,35,7","110617,-1,33,8","111359,-1,26,8","124429,-1,15,9","126056,-1,6,1","128186,-1,13,1","146868,-1,72,9","147916,-1,46,9","148935,-1,34,9","153326,-1,21,9","158520,-1,52,3","160172,-1,30,3","175425,-1,3,2","176499,-1,10,2","177123,-1,25,2","178782,-1,1,7","179979,-1,14,7","188058,-1,7,6","188834,-1,18,6","189958,-1,0,5","190926,-1,22,5","192771,-1,75,5","195088,-1,16,4","197877,-1,76,4","198656,-1,5,4","203446,-1,74,2","204976,-1,45,2","219630,-1,23,3","225145,-1,4,8","226899,-1,57,8","228122,-1,41,8","228922,-1,47,8","230156,-1,9,8","231336,-1,11,3","232728,-1,63,3","235632,-1,58,3","236977,-1,36,7","237861,-1,56,7","238836,-1,48,7","239787,-1,67,7","241976,-1,68,9","242533,-1,40,9"]	
..4.....1.2.6.1.9.3.5.................8...14....91..5.6.....5.3...8..46..5..2..1.	["5126,-1,19,1","7827,-1,57,1","32669,-1,17,5","35455,-1,26,4","36742,-1,13,4","46202,-1,15,3","47380,-1,34,3","59537,-1,77,6","62255,-1,1,6","63439,-1,24,6","73684,-1,11,7","76573,-1,9,8","78548,-1,55,8","91184,-1,0,9","133996,-1,72,4","135436,-1,59,4","136951,-1,30,4","139200,-1,46,4","246672,0,64,3","247547,0,75,3","250095,0,47,3","255719,0,29,5","256765,0,29,6","260551,0,40,6","261656,0,53,6","269510,0,27,1","270668,0,65,1","282317,0,63,7","283606,0,58,7","300724,0,61,9","302617,0,74,9","311195,0,56,2","312324,0,71,2","319356,0,6,7","324783,0,80,7","326302,0,78,8","327392,0,35,8","328493,0,50,8","345624,-1,37,3","354435,-1,50,3","382608,-1,44,9","384132,-1,78,9","396480,-1,80,8","399123,-1,51,8","426214,-1,75,7","428386,-1,67,3","429090,-1,74,3","432540,-1,3,3","440066,-1,39,5","443736,-1,21,2","448875,-1,68,5","452819,-1,4,5","455691,-1,58,9","461509,-1,23,9","473990,-1,61,7","475431,-1,6,7","476207,-1,22,7","483755,-1,5,8","484698,-1,25,8","489074,-1,31,8","490387,-1,7,2","492425,-1,71,2","493653,-1,33,2","495428,-1,41,2","501801,-1,40,6","507461,-1,32,7","508315,-1,53,7","509332,-1,36,7","510080,-1,64,7","512400,-1,65,9","514671,-1,28,9","521747,-1,63,1","522302,-1,29,1","523744,-1,56,2","525631,-1,45,2","530142,-1,47,6","530849,-1,35,6","535251,-1,27,5"]	
6.......2728...4.5...5.8....42...9.....3.5.4......7...8....1..3..47.91...........	["5463,-1,22,1","6356,-1,22,2","10567,-1,48,2","11420,-1,42,2","13590,-1,77,2","18434,-1,63,2","19461,-1,61,2","26991,-1,49,4","29814,-1,5,4","30780,-1,18,4","33288,-1,80,4","34837,-1,57,4","46732,-1,4,7","63259,-1,79,9","64197,-1,26,9","68443,-1,40,9","69486,-1,12,9","73409,-1,45,9","98431,-1,14,3","102870,-1,13,6","103810,-1,32,6","104518,-1,75,6","113279,-1,3,1","115123,-1,16,1","117221,-1,31,1","130471,-1,30,8","135302,-1,58,5","172335,-1,36,1","174328,-1,53,1","199280,-1,25,7","200322,-1,35,7","207588,-1,24,6","242489,-1,60,7","301833,0,34,3","302384,0,6,3","316612,0,72,3","318281,0,67,3","326273,0,76,8","327108,0,7,8","329968,0,71,8","330726,0,51,8","332757,0,37,8","334306,0,38,7","335629,0,73,7","339346,0,52,5","340064,0,78,5","340719,0,64,5","341314,0,27,5","355877,0,74,1","357400,0,19,1","362500,0,20,3","363337,0,46,3","373876,1,34,5","376090,1,78,5","377086,1,64,5","378794,-1,64,5","380574,-1,2,5","381550,-1,1,9","382458,-1,56,9","383634,-1,55,6","392190,-1,78,5","397712,-1,27,5","402876,-1,52,5","404230,-1,34,3","404990,-1,6,3","406516,-1,7,8","407964,-1,71,8","408587,-1,51,8","409328,-1,37,8","414033,-1,76,8","415684,-1,67,3","416534,-1,72,3","421866,-1,38,7","423060,-1,73,7","424229,-1,74,1","424928,-1,19,1","426215,-1,20,3","426837,-1,46,3","429602,-1,47,6","430485,-1,44,6","432235,-1,70,6"]	
....5.2.........8..96.74........63...7..8..4..2.74............9..1...76.26...3..5	["6547,-1,11,2","9620,-1,21,2","40730,-1,39,3","43585,-1,13,3","67288,-1,58,6","81418,-1,59,7","83048,-1,74,7","105017,-1,18,8","116994,-1,79,1","121968,-1,57,1","123572,-1,31,1","144326,-1,63,9","147804,-1,76,9","151203,-1,41,2","151892,-1,67,2","154588,-1,61,2","156028,-1,35,2","161447,-1,71,3","164017,-1,25,3","171821,-1,53,8","201033,-1,24,5","209346,-1,26,1","231688,-1,47,3","244208,-1,38,5","263051,-1,50,9","267785,-1,42,9","269016,-1,7,9","272272,-1,51,1","272959,-1,36,1","274225,-1,45,6","276658,-1,44,6","277672,-1,15,6","279236,-1,3,6","280888,-1,5,8","287728,-1,14,1","288601,-1,1,1","290715,-1,12,9","293895,-1,30,5","296175,-1,52,5","298551,-1,17,5","302650,-1,8,4","314309,-1,8","315545,-1,17","327438,-1,34,7","335809,-1,0,3","338193,-1,55,3","341604,-1,9,7","343296,-1,8,7","345576,-1,17,4","347186,-1,2,4","352852,-1,10,5","354944,-1,54,5","358369,-1,68,5","363258,-1,64,4","364365,-1,75,4","365079,-1,60,4","366066,-1,27,4","367438,-1,78,8","368354,-1,66,8","369043,-1,56,8","369687,-1,28,8","373259,-1,29,9"]	
.6.....7.5..7.8.....8...32.9..3.7..1....5....6..9.4..3.51......3..1.5..4.4.....8.	["2626,-1,78,1","3536,-1,16,1","15654,-1,61,3","33136,-1,80,5","34519,-1,6,5","36592,-1,21,5","57092,-1,8,8","79407,-1,15,4","157441,-1,52,5","158156,-1,29,5","167638,-1,34,4","211727,0,26,6","212265,0,13,6","217352,0,33,6","218263,0,70,6","220249,0,74,6","223210,0,17,9","225523,0,43,9","262016,0,60,9","272207,0,72,7","275922,0,19,7","282477,0,75,2","310056,0,2,9","312640,0,64,9","327561,0,38,4","332753,0,37,3","333231,0,11,3","334268,0,10,2","339020,0,46,1","340545,0,41,1","345744,0,39,6","347471,0,59,6","356688,0,57,8","357734,0,65,8","361548,-1,26,9","362670,-1,17,6","429044,1,62,2","452820,1,62","468333,1,74,6","473080,1,60,9","480083,1,72,7","481348,1,75,2","485494,1,43,9","487821,1,70,6","533269,1,59,6","537567,1,22,6","538551,1,39,6","539631,1,33,6","568473,1,19,7","597249,1,18,5","598586,1,18,4","603763,1,38,4","606694,1,47,7","612571,1,23,1","614301,1,0,1","616237,1,49,1","617195,1,37,1","623887,-1,65,6","626497,-1,60,6","629753,-1,43,6","632657,-1,31,6","633604,-1,23,6","635132,-1,75,6","637199,-1,70,9","639887,-1,74,9","643550,-1,10,9","673226,2,49,1","681411,2,5,1","695843,2,4,9","698354,2,59,9","706867,2,39,8","712422,2,54,8","714503,2,67,8","728021,2,41,2","731193,2,62,2","735873,2,64,2","741591,2,47,2","742439,2,33,2","744262,2,51,8","745038,2,28,8","754275,2,72,7","755003,2,58,7","755806,2,69,7","756574,2,44,7","758375,2,46,7","769775,-1,41,1","771794,-1,46,1","791577,3,39,2","793094,3,62,2","800619,3,49,8","801469,3,57,8","802193,3,64,8","804448,3,36,8","805366,3,33,8","808038,3,51,2","809124,3,28,2","814708,3,72,2","815665,3,67,2","816613,3,5,2","819256,3,11,2","823069,3,4,9","824468,3,59,9","830939,3,69,7","831762,3,44,7","835082,3,47,7","838079,3,76,7","839033,3,54,7","839745,3,19,7","846834,3,2,3","847840,3,37,3","849916,3,13,3","851067,3,77,3","860337,-1,42,9","868154,3,58,4","868987,3,3,4","869742,3,18,4","871245,3,38,4","877729,4,49,2","890333,4,39,8","891129,4,28,8","892553,4,54,8","893589,4,67,8","897204,4,51,8","899596,4,44,7","902404,4,69,7","906825,-1,44,7","907979,-1,69,7","913059,-1,19,7","919009,-1,62,2","926729,-1,47,7","946313,4,33,2","949145,4,64,2","957520,4,72,7","958433,4,58,7","961023,4,57,4","970180,4,59,9","970954,4,4,9","980612,-1,39,2","981624,-1,51,2","984230,-1,33,8","985662,-1,49,8","988790,-1,57,8","989433,-1,64,8","990123,-1,36,8","991760,-1,38,4","994196,-1,37,3","996409,-1,28,2","997789,-1,72,2","998562,-1,67,2","999642,-1,5,2","1000846,-1,11,2","1002740,-1,54,7","1004104,-1,76,7","1005568,-1,77,3","1008467,-1,2,3","1009296,-1,13,3","1013309,-1,58,4","1014174,-1,3,4","1014948,-1,18,4","1017829,-1,4,9","1018694,-1,59,9","1020545,-1,22,1","1021219,-1,0,1"]	
...1.9...7.2.....1..56....3.4.........9.7.4......38.7.2....49..5.......6...9.5...	["12236,-1,23,7","14495,-1,29,7","29797,-1,48,4","53522,-1,31,9","55555,-1,53,9","58513,-1,64,9","60454,-1,18,9","62113,-1,16,9","102990,-1,12,8","106419,-1,14,3","123256,-1,68,2","174969,0,55,7","175820,0,66,7","177697,0,57,3","195586,-1,19,1","228443,-1,0,4","235099,-1,25,4","237943,-1,13,4","240932,-1,80,4","241956,-1,65,4","244179,-1,4,5","245294,-1,15,5","252639,-1,46,5","253722,-1,37,2","255642,-1,30,2","256576,-1,51,2","264652,-1,22,2","269456,-1,24,8","279215,-1,10,6","304012,0,78,7","305213,0,8,7","307707,0,79,2","308569,0,6,2","316754,-1,79,2","319289,-1,8,2","320844,-1,6,7","322265,-1,62,7","325039,-1,66,7","326845,-1,73,7","328042,-1,57,3","336267,-1,74,3","347259,-1,39,5","350426,-1,7,5","352335,-1,69,5","353315,-1,56,5","356675,-1,56","358818,-1,69","362141,-1,7","367176,-1,7,6","369288,-1,33,6","371425,-1,41,6","374150,-1,32,1","375623,-1,43,1","382065,-1,61,5","382791,-1,35,5","390002,-1,34,3","391992,-1,69,3","392950,-1,36,3","394342,-1,1,3","395295,-1,2,8","396034,-1,27,8","397243,-1,55,8","399369,-1,70,8","401109,-1,44,8","402523,-1,76,8","404472,-1,58,6","405129,-1,72,6","405613,-1,47,6","406651,-1,45,1","407157,-1,56,1","407689,-1,67,1","408146,-1,78,1"]	
34...6..5..........2....86.9..8.21.7.3.....9.7..1..4.62.....94..........48.6.1.2.	["7419,-1,47,2","32588,-1,69,6","57061,-1,80,3","66700,-1,15,3","88586,-1,6,2","90381,-1,44,2","116579,-1,52,8","120993,-1,34,3","126043,-1,42,5","127619,-1,70,5","131363,-1,78,7","161083,-1,29,4","167523,-1,28,6","169161,-1,46,5","171919,-1,56,6","173258,-1,9,6","178895,-1,40,6","182064,-1,31,5","185377,-1,74,5","187067,-1,18,5","194194,-1,36,7","195611,-1,36,8","196968,-1,38,1","197660,-1,63,1","199825,-1,62,1","201262,-1,71,8","208297,-1,76,9","209867,-1,50,9","215508,-1,65,3","217070,-1,64,9","218902,-1,55,7","226486,-1,49,3","236433,-1,10,1","237497,-1,7,1","239418,-1,22,1","240769,-1,16,7","301239,-1,58,8","302027,-1,14,8","302656,-1,2,8","303810,-1,20,7","310519,-1,11,9","311606,-1,26,9","313197,-1,3,9","314969,-1,17,4","317882,-1,67,4","323465,-1,4,7","328230,-1,66,2","328828,-1,13,2","334247,-1,12,5","336001,-1,59,5","339100,-1,68,7","339768,-1,39,7","341020,-1,41,4","341554,-1,21,4","342836,-1,23,3","343437,-1,57,3"]	
