3..8.429..7....6.4...6...1..24.8......8...1......2.57..1...5...4.3....2..862.9..1	["22611,-1,44,2","32375,-1,19,4","34309,-1,43,4","38438,-1,48,4","47912,-1,1,6","59892,-1,56,7","63903,-1,68,8","71526,-1,53,8","94443,-1,54,2","104307,-1,64,9","105641,-1,72,5","108172,-1,37,5","110555,-1,30,5","113734,-1,71,5","114958,-1,16,5","125603,-1,46,3","142912,-1,69,9","151233,-1,69","157178,-1,69,7","158336,-1,76,7","164980,-1,23,7","165715,-1,39,7","166572,-1,27,7","167490,-1,8,7","175064,-1,78,9","176529,-1,35,9","180029,-1,79,3","180856,-1,33,3","182566,-1,26,3","191163,-1,24,8","192160,-1,61,8","194424,-1,34,6","195061,-1,62,6","197387,-1,60,4","208287,-1,60","208462,-1,62","208661,-1,34","208811,-1,61","208975,-1,24","209160,-1,26","209326,-1,33","209493,-1,79","209661,-1,35","209860,-1,78","210163,-1,8","217437,-1,78,4","223989,-1,79,3","239137,-1,24,8","239853,-1,61,8","241053,-1,34,6","241630,-1,62,6","243389,-1,60,9","244182,-1,35,9","247732,-1,33,3","249146,-1,26,3","251522,-1,8,7","265169,-1,32,1","278609,-1,40,9","282069,-1,12,9","284675,-1,41,3","285702,-1,50,6","288102,-1,67,6","290229,-1,66,1","294753,-1,57,3","296877,-1,58,4","301725,-1,13,3","304253,-1,4,1","307712,-1,14,2","309680,-1,20,2","314068,-1,22,5","316431,-1,2,5","326332,-1,36,6","330547,-1,18,9","332286,-1,47,9","333749,-1,45,1","335116,-1,11,1","341220,-1,9,8"]
......497...1....28..4.71..5..3......1.....3......49....47.8..92....6...658......	["38812,-1,65,1","40439,-1,0,1","47982,-1,64,3","98709,-1,64","103953,-1,0","105385,-1,65","109890,-1,54,1","111988,-1,2,1","118389,-1,55,3","238401,-1,45,7","252015,-1,0,3","252815,-1,47,3","480030,-1,66,5","538072,-1,58,2","557048,-1,1,6","597286,-1,75,9","829095,-1,16,8","941424,0,36,4","942280,0,10,4","947558,0,9,9","951220,0,22,9","958014,0,11,7","959221,0,64,7","960729,0,65,9","962294,0,28,9","963537,0,41,9","973325,0,26,3","981274,0,25,6","981910,0,60,6","983255,0,61,5","984622,0,15,5","987661,0,20,5","989553,0,19,2","1004662,0,69,3","1025914,0,46,8","1033447,0,71,8","1051440,0,13,6","1052957,0,14,3","1055567,0,76,3","1058263,0,67,4","1060348,0,80,4","1061619,0,34,4","1065336,0,70,1","1067024,0,77,1","1075012,0,79,7","1076801,0,78,2","1078510,0,52,2","1125883,0,5,5","1129122,0,3,2","1130660,0,4,8","1133050,0,39,8","1134062,0,33,8","1135138,0,42,7","1135903,0,31,7","1138398,0,49,1","1139930,0,35,1","1145628,0,29,6","1149778,0,38,2","1152351,0,32,2","1159459,0,40,5","1160078,0,53,5","1180238,1,36,9","1189538,1,9,4","1194407,1,28,4","1210429,-1,46,8","1228943,-1,19,2","1252702,1,44,4","1319209,1,70,4","1321090,1,76,4","1437123,2,65,7","1438423,2,10,7","1441113,2,9,4","1444787,2,28,4","1446464,2,44,4","1450525,2,70,4","1451459,2,76,4","1453450,2,36,9","1460303,2,64,9","1477423,2,64","1477823,2,36","1478338,2,76","1478876,2,70","1479437,2,44","1479962,2,28","1480492,2,9","1480994,2,10","1481591,2,65","1504076,2,22,6","1504971,2,15,6","1506213,2,61,6","1511713,2,60,5","1517043,2,25,5","1519544,2,11,5","1524423,2,10,7","1525405,2,65,7","1526670,2,64,9","1530731,2,36,9","1534183,2,28,4","1534930,2,9,4","1540063,2,44,4","1540746,2,70,4","1541354,2,76,4","1548156,2,26,3","1550685,2,69,3","1553599,2,77,3","1554505,2,13,3","1556643,2,67,1","1557710,2,80,1","1561631,2,32,1","1562439,2,52,1","1565098,2,71,8","1573983,2,53,5","1578909,2,14,9","1581216,2,20,9","1584954,2,31,9","1587414,2,40,7","1598781,2,48,2","1599692,2,5,2","1601491,2,4,4","1602824,2,4,5","1604464,2,3,8","1615092,-1,13,6","1652498,3,22,3","1654481,3,15,3","1661905,3,11,5","1667815,3,10,7","1670837,3,9,4","1672560,3,28,4","1673805,3,44,4","1674975,3,70,4","1675658,3,76,4","1677643,3,77,3","1680444,3,71,3","1683356,3,67,1","1684192,3,32,1","1688409,3,80,1","1689096,3,52,1","1693496,3,48,2","1694118,3,5,2","1696081,3,4,4","1697207,3,4,5","1700110,3,3,8","1706345,3,14,9","1725592,-1,22,9","1726986,-1,14,3","1727886,-1,26,3","1729891,-1,69,3","1737552,-1,25,6","1738226,-1,60,6","1739294,-1,61,5","1739926,-1,15,5","1742346,-1,20,5","1760741,-1,76,3","1762726,-1,67,4","1765068,-1,80,4","1766328,-1,34,4","1768025,-1,36,4","1769805,-1,10,4","1771882,-1,11,7","1772484,-1,64,7","1773786,-1,65,9","1774470,-1,9,9","1775184,-1,28,9","1777126,-1,41,9","1787979,-1,71,8","1793597,-1,70,1","1794178,-1,77,1","1812515,-1,5,5","1814928,-1,3,2","1816152,-1,4,8","1818093,-1,39,8","1819661,-1,33,8","1823120,-1,42,7","1824082,-1,31,7","1829910,-1,48,6","1834174,-1,49,1","1835247,-1,35,1","1839176,-1,44,6","1839771,-1,29,6","1840989,-1,38,2","1842369,-1,32,2","1843019,-1,52,2","1843586,-1,78,2","1845300,-1,79,7","1848734,-1,53,5","1849228,-1,40,5"]
..4........12..3..85.6.....546....3...9...8.4.......67.3..4...2...1.......8.597..	["42091,-1,48,4","126033,-1,46,8","214637,-1,75,3","215998,-1,71,3","291712,-1,80,6","296662,-1,6,6","503929,0,72,2","505371,0,63,4","508608,0,79,4","509818,0,24,4","511066,0,14,4","514107,0,73,1","568345,0,73","568975,0,14","569469,0,24","569885,0,79","570486,0,63","570985,0,72","582226,0,20,2","583355,0,7,2","587114,0,0,3","593459,0,47,3","665234,0,45,1","666855,0,73,1","677452,0,72,2","678466,0,37,2","683954,0,36,7","691292,0,63,4","692321,0,79,4","693100,0,24,4","693573,0,14,4","791602,0,17,5","792831,0,8,8","795442,0,13,8","846218,0,43,1","847077,0,26,1","848139,0,60,1","862563,0,39,5","863590,0,51,5","867117,0,5,5","871873,0,49,9","878841,0,3,9","882938,0,69,9","883984,0,54,9","885327,0,10,9","886137,0,25,9","887340,0,16,7","888587,0,1,7","898525,0,4,1","901537,0,32,1","906903,0,33,2","910307,0,35,9","928901,0,50,2","930132,0,57,2","933933,0,57","935860,0,67,2","941982,0,40,6","943144,0,41,3","945923,0,22,3","952418,0,23,7","954466,0,57,7","955232,0,65,7","955925,0,30,7","957642,0,30","958483,0,31,7","963479,0,64,6","964571,0,9,6","966690,0,59,6","971370,0,56,5","972040,0,70,5","972996,0,61,8","974131,0,68,8","975496,0,30,8","986825,1,47,2","989362,1,20,3","1048674,1,20","1049137,1,47","1056674,1,26,9","1064024,1,35,1","1080295,1,43,5","1082267,1,50,5","1084551,1,3,5","1085369,1,17,5","1086818,1,8,8","1171351,1,51,2","1182180,1,45,1","1184215,1,73,1","1185646,1,60,1","1191304,1,69,5","1192205,1,56,5","1194040,1,65,7","1198233,1,79,4","1199313,1,63,4","1201734,1,24,4","1202781,1,14,4","1204726,1,72,2","1209666,1,37,2","1210419,1,20,2","1211553,1,7,2","1212784,1,25,2","1214141,1,25,1","1215844,1,16,7","1219893,1,36,7","1220541,1,1,7","1226535,1,47,3","1228723,1,0,3","1243457,-1,26,1","1245020,-1,35,9","1350867,2,72,4","1356385,2,73,2","1360421,2,54,1","1361749,2,79,1","1364137,2,37,1","1374962,2,36,7","1391951,2,59,6","1394061,2,40,6","1397468,2,41,3","1455413,2,43,2","1460011,2,39,5","1460649,2,51,5","1492583,2,33,1","1511134,-1,49,9","1524718,-1,3,9","1538052,2,50,1","1538886,2,4,1","1571383,2,60,9","1575165,2,69,5","1578004,2,69,4","1582798,2,25,9","1589556,2,24,2","1591303,2,0,2","1592074,2,47,2","1593333,2,45,3","1593897,2,20,3","1602783,-1,63,4","1604217,-1,79,4","1605104,-1,24,4","1606139,-1,14,4","1642334,-1,25,9","1651980,-1,7,2","1654074,-1,20,2","1657675,-1,47,3","1663443,-1,0,3","1690921,-1,16,7","1692524,-1,1,7","1693572,-1,36,7","1741003,-1,39,5","1741770,-1,51,5","1747734,-1,5,5","1748617,-1,17,5","1750065,-1,8,8","1751173,-1,13,8","1756614,-1,4,1","1764941,-1,33,2","1767794,-1,50,2","1768454,-1,37,2","1769191,-1,72,2","1770713,-1,73,1","1772827,-1,43,1","1773482,-1,60,1","1775753,-1,32,1","1776796,-1,45,1","1784278,-1,30,8","1787293,-1,31,7","1787886,-1,23,7","1788653,-1,57,7","1790203,-1,65,7","1792684,-1,56,5","1793486,-1,70,5","1798915,-1,69,9","1799699,-1,54,9","1800357,-1,10,9","1801256,-1,9,6","1802094,-1,64,6","1802952,-1,59,6","1803563,-1,40,6","1804698,-1,41,3","1805290,-1,22,3","1810421,-1,67,1","1811390,-1,67,2","1814235,-1,68,8","1814879,-1,61,8"]
.9.....8.6.3....1....1..4...2.8..7..3..5.7..2..5....4...6.52.........5.7.3.7...6.	["21500,-1,72,5","38055,-1,25,7","44726,-1,2,7","45640,-1,13,7","55758,-1,0,1","65045,-1,10,4","66201,-1,19,5","71782,-1,34,5","78929,-1,43,9","88013,-1,14,8","97793,-1,70,2","98993,-1,74,2","99996,-1,18,2","102468,-1,20,8","114257,-1,5,5","114991,-1,17,5","133902,-1,61,3","269376,0,12,2","270496,0,49,2","271112,0,6,2","272264,0,15,9","280963,0,53,8","282183,0,35,1","287621,0,37,8","297686,0,46,6","298845,0,42,6","303217,0,51,3","345848,0,40,4","348489,0,3,4","356835,0,50,2","359758,0,50,1","360741,0,38,1","371678,0,48,9","378169,0,45,7","378903,0,55,7","384525,0,64,1","387429,0,76,1","388658,0,60,1","389964,0,78,8","393224,0,67,8","394949,0,54,8","409548,0,77,9","410623,0,62,9","412057,0,22,9","422129,-1,12,9","423623,-1,15,2","450463,-1,57,4","452293,-1,80,4","460760,-1,4,4","461402,-1,32,4","462753,-1,38,4","463785,-1,63,4","484786,-1,3,2","485951,-1,49,2","496377,-1,26,9","551968,1,8,6","554638,1,31,6","555601,1,23,6","556724,1,66,6","559354,1,6,3","562176,1,35,3","564432,1,22,3","566527,1,68,3","567775,1,48,3","571999,1,29,1","581514,1,27,9","582618,1,65,9","585343,1,50,9","586123,1,76,9","587503,1,60,9","594679,1,67,8","598015,1,78,8","600775,1,53,8","603356,1,37,8","603994,1,54,8","605547,1,55,7","606047,1,45,7","608085,1,64,1","609624,1,77,1","610431,1,62,1","612388,1,40,1","612825,1,51,1","618666,1,42,6","619490,1,46,6","630336,2,6,6","631595,2,8,3","638427,2,51,3","639609,2,31,3","640262,2,23,3","641274,2,66,3","646575,2,22,6","647351,2,68,6","657383,2,48,6","661711,2,35,6","662693,2,37,6","669741,2,42,8","670284,2,62,8","672601,2,64,8","673815,2,45,8","676731,2,76,8","678605,2,46,7","679148,2,54,7","681782,2,65,9","683613,2,77,9","684717,2,60,9","685934,2,78,1","686785,2,53,1","687910,2,40,1","688736,2,29,1","689868,2,55,1","695737,-1,8,6","696734,-1,31,6","697185,-1,23,6","697932,-1,66,6","698927,-1,68,3","699842,-1,22,3","700919,-1,48,3","702501,-1,35,3","703314,-1,6,3","729279,-1,50,9","731626,-1,77,1","735735,-1,29,1","738788,-1,64,1","740710,-1,40,1","747542,-1,27,9","749498,-1,65,9","750257,-1,76,9","751546,-1,60,9","754529,-1,67,8","759910,-1,78,8","760486,-1,53,8","761030,-1,37,8","762260,-1,54,8","763371,-1,55,7","763838,-1,45,7","765546,-1,46,6","766198,-1,42,6","769733,-1,51,1","771345,-1,62,1"]
3.......848......7.1.95......4........3.17.......6.45......52.......3.89179......	["2994,-1,47,1","19602,-1,55,3","31032,-1,39,4","35842,-1,64,4","46774,-1,80,5","56694,-1,30,5","86310,-1,56,8","87240,-1,54,6","106509,-1,20,7","126685,-1,45,7","139288,-1,23,8","139943,-1,48,8","140570,-1,76,8","148435,-1,58,9","155675,-1,1,9","162664,-1,50,9","170867,-1,63,5","174266,-1,37,5","177917,-1,65,2","179507,-1,18,2","188905,-1,28,6","191533,-1,46,2","204288,-1,44,2","215819,-1,26,3","220176,-1,25,4","222886,-1,24,6","225790,-1,79,6","227822,-1,66,6","229809,-1,57,2","231064,-1,57,1","246014,-1,31,3","246580,-1,12,3","256675,-1,32,2","257566,-1,75,2","265923,-1,67,7","268040,-1,3,7","273996,-1,77,4","274679,-1,62,4","276757,-1,69,1","280623,-1,78,3","281794,-1,43,3","287457,-1,43","287809,-1,78","288045,-1,69","288327,-1,62","288557,-1,77","288791,-1,3","288992,-1,67","289223,-1,75","289490,-1,32","289725,-1,12","289973,-1,31","291015,-1,57,2","291809,-1,57","292289,-1,66","292843,-1,79","293407,-1,24","294022,-1,25","294887,-1,26","307771,-1,53,3","308866,-1,31,3","309466,-1,12,3","312641,-1,32,2","316725,-1,75,2","348938,-1,26,6","386690,-1,62,4","388453,-1,35,1","393418,-1,77,4","395331,-1,4,4","396719,-1,25,4","399377,-1,24,3","402220,-1,79,3","405316,-1,66,6","406468,-1,78,6","410429,-1,43,6","417512,-1,3,7","418277,-1,67,7","419572,-1,61,7","420947,-1,33,7","422706,-1,42,8","423546,-1,27,8","426659,-1,36,9","427952,-1,34,9","429784,-1,15,9","432058,-1,69,1","434280,-1,57,1","440711,-1,6,5","441478,-1,11,5","442951,-1,2,6","445661,-1,14,6","447466,-1,5,1","447993,-1,16,1","449530,-1,7,2","450141,-1,13,2"]
...3.5...8.......54..1.28....9...1..6.......4.7....65.7.14..5.99.......6...5.3...	["39850,-1,27,5","40917,-1,45,3","46411,-1,40,5","63057,-1,4,8","69778,-1,76,9","85015,-1,37,1","86184,-1,0,1","87880,-1,16,1","89033,-1,80,1","94380,-1,72,2","125904,-1,31,4","127350,-1,31,3","135287,-1,26,3","342468,0,8,2","344690,0,34,2","347687,0,69,2","348747,0,58,2","351867,0,10,2","354532,0,15,7","356058,0,35,7","357941,0,79,7","359848,0,22,7","361499,0,2,7","373574,0,59,6","377327,0,30,6","378125,0,13,6","380785,0,14,4","383361,0,49,4","384028,0,28,4","391179,0,12,9","391800,0,50,9","397010,-1,15,2","410028,-1,8,7","410762,-1,34,7","414048,-1,78,7","571200,1,6,4","575603,1,42,9","577431,1,69,3","578632,1,55,3","580041,1,10,3","582219,1,10","583479,1,11,3","598693,1,43,3","641965,1,20,7","648661,1,19,4","649724,1,19,5","651171,1,65,5","685433,1,1,9","686397,1,25,9","687961,1,7,6","689901,1,10,6","691797,1,74,6","692985,1,22,6","694948,1,59,6","695571,1,30,6","707206,1,61,8","713702,1,73,8","720896,1,64,4","722545,1,47,4","723990,1,32,4","724496,1,13,4","728212,1,67,4","729539,1,67,7","733085,1,70,2","733960,1,58,2","738320,1,2,2","739059,1,27,2","739870,1,53,2","740803,1,39,2","742040,1,35,8","744340,1,38,8","746221,1,28,2","747674,1,27,1","749322,1,27","760360,1,41,7","761173,1,12,7","762498,1,14,9","763324,1,48,9","765422,1,68,1","765908,1,49,1","772834,1,50,8","773522,1,66,8","786872,2,7,4","788895,2,69,4","792652,2,42,3","793818,2,43,9","796198,2,6,9","798432,2,19,9","800665,2,20,5","804104,2,64,5","815752,2,79,8","824775,2,25,6","837993,2,22,7","839975,2,11,7","848049,2,10,3","851930,2,65,3","852837,2,61,3","854092,2,70,3","855760,2,70,2","859620,2,58,2","870922,2,59,6","877839,2,30,6","882328,2,67,1","882959,2,50,1","884103,2,48,9","884915,2,14,9","886371,2,13,4","889365,2,32,4","890687,2,47,4","892801,2,73,4","893977,2,74,6","894824,2,1,6","896668,2,2,2","898222,2,28,2","899730,2,53,2","901529,2,39,2","902877,2,35,8","905053,2,38,8","914439,-1,6,4","919128,-1,42,9","920323,-1,69,3","924218,-1,55,3","926830,-1,11,3","933311,-1,20,6","934818,-1,20,8","935977,-1,20,7","942561,-1,22,6","943469,-1,7,6","944175,-1,10,6","945016,-1,74,6","952392,-1,25,9","954373,-1,1,9","956182,-1,2,2","957642,-1,28,2","960160,-1,53,2","961158,-1,39,2","963094,-1,35,8","968224,-1,43,3","972042,-1,47,4","974036,-1,32,4","974517,-1,13,4","980488,-1,30,6","982044,-1,59,6","983303,-1,58,2","985231,-1,70,2","987049,-1,79,4","989210,-1,64,4","991333,-1,61,8","992226,-1,73,8","993191,-1,38,8","999178,-1,41,7","999932,-1,12,7","1000684,-1,67,7","1004129,-1,19,5","1004864,-1,65,5","1007407,-1,68,1","1007863,-1,49,1","1009650,-1,14,9","1011135,-1,48,9","1014452,-1,50,8","1015280,-1,66,8"]
.4.....1...5..3.....79.24..7..5.9..3......12....7.4..9..6..83....36..5.........7.	["12652,-1,25,3","14966,-1,0,3","42958,-1,52,5","59103,-1,44,7","61866,-1,34,3","63936,-1,34,4","74238,-1,80,6","75319,-1,16,6","81271,-1,70,8","86561,-1,61,9","107645,-1,12,1","123872,-1,46,3","132870,-1,41,6","140548,-1,4,6","220175,-1,78,2","223924,-1,57,2","235705,-1,13,4","237633,-1,75,4","240137,-1,38,4","255950,-1,15,7","258069,-1,6,9","261330,-1,74,9","262512,-1,67,9","275129,-1,5,7","276882,-1,58,7","277906,-1,64,7","291335,-1,22,5","293444,-1,8,5","295630,-1,17,2","296619,-1,2,2","299025,-1,63,2","301308,-1,28,2","301876,-1,49,2","302930,-1,31,2","304181,-1,31,1","308804,-1,47,1","313817,-1,29,8","316266,-1,3,8","316880,-1,40,8","317701,-1,51,8","320440,-1,26,8","327097,-1,39,3","327927,-1,76,3","333740,-1,71,3","334435,-1,71,4","335756,-1,62,1","337407,-1,68,1","340971,-1,77,5","350693,-1,33,6","351892,-1,45,6","353323,-1,19,6","358346,-1,18,1","359912,-1,73,1","366403,-1,72,8","368090,-1,10,8","372352,-1,37,8","378487,-1,9,9","380052,-1,37,9","382845,-1,36,5","383423,-1,55,5","386957,-1,54,4"]
32.5....787.31..5........8.71..4..3..8.9...........4.......961..31...8..9..8....5	["3166,-1,18,1","4829,-1,6,1","7997,-1,77,1","8747,-1,48,1","9572,-1,44,1","52133,-1,56,8","119726,-1,74,7","128731,-1,70,7","129577,-1,42,7","139683,-1,33,5","149564,-1,71,9","152743,-1,52,9","154699,-1,29,9","155433,-1,19,9","156463,-1,20,5","188758,-1,15,9","190287,-1,4,9","192904,-1,5,8","194773,-1,49,8","195459,-1,35,8","245487,-1,50,7","253677,-1,41,3","254374,-1,47,3","255477,-1,38,2","258239,-1,53,2","260091,-1,24,2","261349,-1,79,2","265621,-1,14,2","267997,-1,30,2","275360,-1,40,5","276269,-1,68,5","284340,-1,32,6","288139,-1,43,6","294423,-1,36,4","298613,-1,23,4","300756,-1,62,4","301675,-1,7,4","302717,-1,11,4","306041,-1,66,4","307015,-1,73,4","309738,-1,78,3","311175,-1,26,3","313511,-1,57,3","322378,-1,57","323626,-1,58,3","329170,-1,67,2","330642,-1,54,2","332836,-1,55,5","333494,-1,45,5","334922,-1,46,6","335811,-1,2,6","336674,-1,63,6","337966,-1,76,6","338750,-1,21,6","339595,-1,17,6","344212,-1,22,7","344808,-1,57,7"]
.7......48..39..........86......6.9..4..1...3...4...2...7........45.31..9....86..	["18523,-1,18,4","22632,-1,14,4","25903,-1,33,4","66500,-1,43,8","80917,-1,71,9","82904,-1,6,9","92914,-1,7,3","103470,-1,53,6","115142,-1,35,1","116755,-1,16,1","125030,-1,70,7","128701,-1,17,7","142667,-1,26,5","144267,-1,15,2","185532,-1,5,2","187130,-1,5,5","194236,-1,30,8","195450,-1,4,8","196540,-1,3,6","206548,-1,62,8","207884,-1,64,8","209386,-1,47,8","249880,-1,80,2","255212,-1,60,3","448498,0,0,1","449798,0,46,1","451274,0,74,1","457855,0,2,2","465750,0,73,3","466537,0,20,3","467820,0,19,9","469073,0,38,9","470674,0,50,9","471311,0,57,9","473070,0,59,1","473739,0,21,1","478794,0,23,2","480698,0,39,2","487016,0,22,7","488524,0,41,7","490213,0,75,7","492618,0,51,7","493505,0,27,7","496781,0,42,4","498264,0,42,5","505536,0,79,5","511559,0,61,4","512523,0,76,4","519527,0,36,6","520180,0,55,6","520805,0,11,6","521750,0,10,5","526367,0,54,5","527329,0,29,5","527879,0,49,5","529134,0,31,3","530082,0,45,3","552884,1,2,1","559481,1,0,2","562655,1,55,2","563747,1,67,2","567056,1,22,7","568521,1,75,7","582820,1,58,6","583857,1,63,6","585837,1,38,6","586392,1,10,6","588633,1,11,5","595157,1,76,4","596074,1,61,4","597212,1,79,5","599541,1,54,5","601693,1,42,5","604643,1,51,7","605425,1,41,7","606479,1,27,7","608808,1,45,3","609864,1,31,3","611157,1,49,5","613965,1,28,5","615678,1,39,2","617135,1,23,2","619730,1,21,1","620335,1,59,1","621713,1,57,9","622433,1,50,9","634071,-1,0,1","638667,-1,46,1","639635,-1,74,1","644253,-1,2,2","660038,-1,38,9","660589,-1,19,9","663724,-1,50,9","664389,-1,57,9","665594,-1,59,1","666170,-1,21,1","669034,-1,23,2","670820,-1,39,2","675887,-1,22,7","676835,-1,75,7","678188,-1,41,7","679740,-1,51,7","680351,-1,27,7","681397,-1,45,3","683265,-1,31,3","684322,-1,20,3","686063,-1,73,3","708996,-1,76,4","710829,-1,61,4","712528,-1,79,5","716373,-1,42,5","717011,-1,49,5","719028,-1,54,5","722917,-1,28,2","724236,-1,63,2","725982,-1,58,2","728672,-1,67,6","729509,-1,55,6","730254,-1,11,6","733903,-1,10,5","734647,-1,29,5","736617,-1,36,6"]
.4..3......5.7.3.436..5..2....76......2.9.51......5.7881....95..........5.6..4...	["16591,-1,21,4","17833,-1,49,4","19680,-1,36,4","22010,-1,56,4","27126,-1,66,5","29614,-1,28,5","31552,-1,8,5","38125,-1,45,6","38921,-1,44,6","53236,-1,67,8","60190,-1,76,1","63117,-1,71,1","73602,-1,58,2","138871,-1,37,7","141584,-1,59,7","153959,-1,57,6","164384,-1,62,3","167813,-1,34,3","179641,-1,33,4","180453,-1,70,4","181852,-1,69,6","200562,-1,79,8","206230,-1,29,8","209275,-1,10,8","224235,-1,35,9","231869,-1,27,1","235532,-1,48,1","236127,-1,14,1","239240,-1,51,2","241102,-1,32,2","248632,-1,80,2","250976,-1,64,2","256566,-1,78,7","257842,-1,26,7","309818,-1,5,6","310673,-1,16,6","316783,-1,7,9","383574,0,3,3","384922,0,3,1","386583,0,3,2","388194,0,9,2","390083,0,20,9","390941,0,46,9","391635,0,63,9","392546,0,75,9","409145,-1,9,9","416545,-1,0,2","417322,-1,12,2","423179,-1,2,7","424162,-1,63,7","430527,-1,20,1","431919,-1,6,1","433184,-1,24,8","433899,-1,3,8","434588,-1,41,8","438220,-1,23,9","439201,-1,75,9","439856,-1,65,9","440307,-1,46,9","442765,-1,47,3","443487,-1,73,3","445997,-1,68,3","446880,-1,39,3"]
