4.93.....2.8........1..932...28.6......7.....96...5..43....7..6......8.7..4.5...2	["18820,-1,10,3","22124,-1,18,6","23928,-1,65,6","24754,-1,75,6","35154,-1,72,7","35793,-1,47,7","44920,-1,38,3","50562,-1,35,3","55507,-1,49,3","64132,-1,56,5","66986,-1,70,5","80710,-1,70","81985,-1,56","83011,-1,56,5","83715,-1,70,5","131387,-1,36,5","133164,-1,36,8","135493,-1,52,8","157368,-1,27,5","165058,-1,63,1","189913,-1,79,3","190644,-1,68,3","238147,-1,41,4","241218,-1,28,4","242246,-1,37,1","261828,-1,5,2","268122,-1,77,7","269054,-1,77,8","269709,-1,55,8","271461,-1,64,2","273715,-1,73,9","277142,-1,66,9","279172,-1,78,1","281545,-1,48,1","283840,-1,58,1","284757,-1,14,1","286944,-1,34,1","287985,-1,8,1","290624,-1,26,8","291524,-1,4,8","303503,-1,57,2","304236,-1,40,2","305386,-1,51,2","309050,-1,67,4","310540,-1,21,4","319918,-1,31,9","324415,-1,33,7","335925,-1,13,6","340476,-1,22,7","341070,-1,1,7","342575,-1,16,7","343916,-1,19,5","345019,-1,12,5","346944,-1,6,5","347644,-1,44,5","351023,-1,17,9","354583,-1,15,4","355858,-1,61,4","357486,-1,60,9","358340,-1,43,9","363346,-1,42,6","363891,-1,7,6"]	
...8..7..3...9....1.7...9.6.5.6.7.....1...5...4.....8.9.....8.16.......2...9.24..	["23019,-1,1,4","25577,-1,1","26447,-1,0,4","45312,-1,72,5","57369,-1,51,6","59760,-1,37,6","66794,-1,12,7","74559,-1,17,8","75772,-1,19,8","85747,-1,1,9","91110,-1,70,9","115200,-1,10,2","122980,-1,33,2","135174,-1,56,2","143207,-1,65,4","144590,-1,74,8","163288,-1,61,5","164906,-1,8,5","166132,-1,11,5","167995,-1,2,6","169658,-1,14,6","171458,-1,79,6","174389,-1,58,6","180665,-1,69,3","186136,-1,80,7","187923,-1,43,7","190514,-1,45,7","191681,-1,36,2","195377,-1,27,8","201542,-1,34,1","202614,-1,15,1","210950,-1,16,4","246016,-1,67,7","246501,-1,55,7","248685,-1,74,4","252175,-1,74,8","253819,-1,73,3","256008,-1,64,1","256910,-1,76,1","260107,-1,5,1","261026,-1,48,1","266658,-1,49,2","267158,-1,21,2","267905,-1,7,2","269055,-1,25,3","269633,-1,4,3","281141,-1,50,5","281751,-1,22,5","282995,-1,66,5","289347,-1,68,8","289924,-1,40,8","298198,-1,23,4","299101,-1,57,4","299678,-1,31,4","300318,-1,44,4","302797,-1,41,9","303572,-1,39,3","304305,-1,59,3","307172,-1,29,3","307888,-1,53,3","308642,-1,35,9","309314,-1,47,9"]	
72.8..51.1.....9...5.3....8...64.....3.9.8.4.....71...4....7.2...8.....9.17..6.85	["3769,-1,22,1","36297,-1,58,8","38143,-1,12,7","43245,-1,28,7","44226,-1,44,7","62102,-1,76,9","63053,-1,5,9","84660,-1,32,2","85749,-1,32,3","100282,-1,67,3","105460,-1,72,3","112661,-1,63,2","113364,-1,75,2","114237,-1,40,2","121351,-1,48,5","122255,-1,68,5","123437,-1,13,5","125751,-1,56,5","127784,-1,34,5","128903,-1,36,5","130668,-1,52,9","138926,-1,55,9","144977,-1,64,6","150944,-1,4,6","203515,-1,10,8","211246,-1,46,4","217569,-1,66,4","218146,-1,78,4","220233,-1,57,1","222143,-1,69,1","224686,-1,35,1","225542,-1,38,1","231290,-1,70,7","231913,-1,24,7","234811,-1,17,2","235497,-1,23,2","237029,-1,14,4","237683,-1,8,4","239080,-1,20,4","247952,-1,42,6","248578,-1,62,6","253295,-1,60,3","253859,-1,53,3","255225,-1,16,3","255941,-1,2,3","261161,-1,25,6","261847,-1,11,6","263044,-1,45,6","265849,-1,27,8","266597,-1,51,8","268644,-1,33,2","269485,-1,47,2","272010,-1,29,9","272679,-1,18,9"]	
912..5....6.9..7......8....2...37..1....1.3.5.......6...78..623...5...7..4.......	["9250,-1,64,2","28383,-1,49,5","46574,-1,53,7","55287,-1,51,2","111956,-1,39,2","121461,-1,30,6","123642,-1,48,4","353984,0,4,6","355647,0,26,6","362513,0,17,2","363401,0,23,2","364970,0,76,2","380473,-1,23,6","386564,-1,8,6","399015,-1,26,2","422373,-1,17,4","437245,-1,69,4","448758,-1,4,4","450202,-1,59,4","451633,-1,3,7","452475,-1,76,7","456278,-1,77,2","457089,-1,13,2","462091,-1,68,1","464464,-1,21,1","465228,-1,16,1","466532,-1,78,1","469185,-1,54,1","470320,-1,47,1","475413,-1,14,3","477104,-1,7,3","480687,-1,6,8","482696,-1,33,9","483336,-1,25,9","485303,-1,24,5","486020,-1,79,5","487355,-1,55,5","487948,-1,29,5","489717,-1,9,5","491366,-1,11,8","524186,-1,58,9","539604,-1,34,4","541719,-1,43,8","542622,-1,50,8","543493,-1,28,8","545305,-1,41,9","545896,-1,46,9","547796,-1,45,3","548943,-1,19,3","552827,-1,18,7","554147,-1,37,7","555487,-1,20,4","556049,-1,36,4","561037,-1,38,6","562668,-1,67,6","564065,-1,72,6","565375,-1,63,8","566541,-1,80,8","568743,-1,71,9","569753,-1,74,9","572338,-1,65,3","572900,-1,75,3"]	
69......1.....8..3..42..9..4...8..76.........51.....3...94.68..7....9...8.......5	["16089,-1,66,7","17145,-1,66,8","27216,-1,36,9","31074,-1,53,9","33354,-1,79,9","35526,-1,30,9","36305,-1,13,9","77627,-1,47,8","78933,-1,19,8","80395,-1,7,8","80974,-1,44,8","98688,-1,71,4","100289,-1,73,4","117879,-1,62,2","120146,-1,9,2","121916,-1,6,2","122617,-1,43,2","128445,-1,26,7","129657,-1,78,7","130266,-1,58,7","148525,-1,67,5","149165,-1,55,5","173313,-1,74,6","174061,-1,37,6","178538,-1,38,7","179101,-1,10,7","197834,-1,69,3","198630,-1,54,3","200045,-1,2,3","204711,-1,18,1","205318,-1,12,1","208344,-1,65,1","209105,-1,61,1","215594,-1,22,6","217272,-1,70,6","218052,-1,15,6","220921,-1,48,6","222289,-1,50,7","223347,-1,3,7","228328,-1,49,2","229043,-1,77,2","231047,-1,76,1","233583,-1,75,3","235834,-1,23,3","237294,-1,40,3","239170,-1,28,3","240588,-1,64,2","241089,-1,29,2","247161,-1,41,4","247769,-1,51,4","248392,-1,4,4","249897,-1,16,4","251449,-1,25,5","252508,-1,5,5","253397,-1,11,5","256126,-1,39,5","256656,-1,33,5","257584,-1,42,1","258130,-1,32,1"]	
2.......1...2...6...9.6.5.8.....4.9...8...1...427.....7.6.413...9...8.5.........9	["4056,-1,79,1","7438,-1,25,2","28104,-1,1,6","48593,-1,57,9","67320,-1,55,5","68660,-1,62,2","72929,-1,61,8","83508,-1,73,2","84522,-1,67,2","86248,-1,41,2","87150,-1,33,2","162310,-1,72,8","164993,-1,10,8","171364,-1,51,8","294161,0,71,7","294830,0,43,7","305810,0,44,4","306697,0,7,4","309275,0,17,3","314259,0,21,4","326524,0,52,3","352908,0,13,1","356661,0,30,1","357797,0,45,1","358779,0,65,1","361507,0,19,1","362968,0,31,8","363467,0,3,8","370046,0,36,9","370819,0,27,6","371739,0,53,6","372548,0,39,6","373296,0,77,6","373919,0,69,6","375022,0,78,4","376420,0,63,4","377524,0,11,4","379758,0,35,5","380972,0,37,5","387952,-1,69,7","409558,-1,78,6","410306,-1,66,6","416614,-1,71,4","417873,-1,43,4","420990,-1,74,4","428334,-1,7,7","432063,-1,17,3","432736,-1,52,3","506443,-1,50,6","525576,-1,53,5","540959,-1,36,9","543165,-1,36","607860,1,45,9","613813,1,40,9","614805,1,49,1","625688,1,21,1","628757,1,28,1","648753,1,3,4","649408,1,15,4","650777,1,18,4","651934,1,6,9","652419,1,14,9","674379,1,4,8","675265,1,30,8","701312,2,36,9","701921,2,49,9","706740,2,27,6","707611,2,44,6","708400,2,35,7","710805,2,37,7","711413,2,11,7","712315,2,23,7","712999,2,76,7","730031,2,45,1","730717,2,65,1","731559,2,19,1","736540,2,63,3","738450,2,2,3","739105,2,21,3","742534,2,28,3","743375,2,40,3","743952,2,77,3","745439,2,75,5","746374,2,31,5","751566,-1,45,9","752191,-1,40,9","753137,-1,49,1","755991,-1,21,1","758290,-1,28,1","759324,-1,3,4","760061,-1,15,4","760811,-1,18,4","761847,-1,6,9","762379,-1,14,9","767459,-1,4,8","768190,-1,30,8","782270,3,23,3","783064,3,2,3","783954,3,63,3","784487,3,37,3","785126,3,31,3","785767,3,75,3","788089,3,13,7","788931,3,77,7","790531,3,19,7","791094,3,29,7","791748,3,44,7","793764,3,35,6","794513,3,36,6","799500,3,65,1","800091,3,9,1","801687,3,27,5","802542,3,39,5","803120,3,76,5","803697,3,5,5","806955,4,5,3","809346,4,19,3","813886,4,13,5","814525,4,2,5","818015,4,39,5","819585,4,77,5","822253,4,27,5","823486,4,36,6","824326,4,35,6","825129,4,44,7","826668,4,31,7","827524,4,23,7","828413,4,75,7","831594,4,75","831940,4,23","832797,4,31","836843,4,29,7","841245,-1,23,3","844062,-1,2,3","844795,-1,63,3","845312,-1,37,3","847267,-1,31,3","847799,-1,75,3","850324,-1,65,1","850993,-1,9,1","853666,-1,29,7","854506,-1,44,7","856060,-1,19,7","856699,-1,13,7","857586,-1,77,7","858497,-1,35,6","859197,-1,36,6","860094,-1,27,5","860702,-1,11,5","861187,-1,5,5","861656,-1,39,5","862155,-1,76,5"]	
..........23...51...9256....3.8.5.4.............942.6...7.394...1....82..........	["54741,-1,76,2","55599,-1,54,2","60455,-1,55,8","62303,-1,77,8","78450,-1,61,5","122971,-1,18,1","157009,-1,5,1","157823,-1,3,3","160957,-1,41,3","306363,0,17,9","307932,0,63,9","308819,0,37,9","309629,0,33,9","310392,0,79,9","313092,0,4,9","314488,0,13,8","315760,0,9,6","320024,0,73,6","323078,0,6,6","325635,0,8,2","327359,0,42,2","328818,0,29,2","343658,0,72,3","344872,0,71,3","347911,0,51,3","350068,0,25,3","353479,0,26,4","358472,0,36,4","360272,0,1,4","365706,0,0,6","367487,0,0,5","368392,0,46,5","370224,0,44,5","383754,0,19,7","384718,0,7,7","392885,0,78,7","403042,0,2,8","405140,0,45,8","406492,0,24,8","426326,-1,13,9","427196,-1,4,8","429726,-1,9,8","437515,-1,17,6","438542,-1,78,6","440948,-1,57,6","447261,-1,62,2","448147,-1,62,1","449731,-1,75,1","460589,-1,66,5","462417,-1,68,4","463134,-1,12,4","464083,-1,14,7","464846,-1,67,7","465950,-1,39,7","540315,1,51,3","543270,1,8,4","544608,1,19,4","553196,1,24,7","557040,1,6,2","559056,1,7,9","572371,1,47,1","587123,1,79,7","594367,1,25,3","595388,1,26,8","596894,1,43,8","604275,-1,53,3","606184,-1,79,3","608247,-1,24,3","610048,-1,63,3","612023,-1,80,7","625807,-1,71,9","632624,-1,65,6","690771,-1,44,5","697334,-1,43,8","698454,-1,26,8","700224,-1,47,8","701433,-1,8,4","702384,-1,19,4","707569,-1,6,2","708209,-1,35,2","709776,-1,38,2","712210,-1,7,9","718928,-1,25,7","721391,-1,2,5","725603,-1,29,1","726242,-1,40,1","726742,-1,51,1","727826,-1,31,6","735232,-1,33,7","740330,-1,42,9","741234,-1,27,9","742574,-1,73,9","743757,-1,72,5","744659,-1,46,5","746428,-1,74,4","747285,-1,36,4","751571,-1,37,6","752117,-1,0,6","752746,-1,1,7","753293,-1,45,7"]	
.86...2..9.......3..34.98..43...8.9...........9.3....6..56.74..8.......7.4.....2.	["12122,-1,11,4","45289,-1,8,9","48179,-1,58,9","50306,-1,39,9","71143,-1,7,4","73131,-1,44,4","91690,-1,31,6","92888,-1,14,6","93636,-1,25,6","112408,-1,62,8","183330,-1,35,2","267145,-1,42,3","346594,0,55,2","347172,0,18,2","384170,1,64,6","384981,1,78,6","385740,1,69,9","386363,1,74,9","387569,1,36,6","391868,1,72,7","393808,1,29,7","397010,1,54,3","398609,1,70,3","403354,1,80,5","406269,1,26,1","407450,1,61,1","408662,1,65,1","413754,1,55,2","415105,1,18,2","426206,1,10,1","427605,1,45,1","429033,1,33,1","432507,1,30,5","445235,1,37,5","445876,1,0,5","447195,1,22,5","451367,1,68,5","468683,1,19,7","492851,1,67,4","494358,1,50,4","497249,1,66,2","498925,1,13,2","499782,1,41,2","500482,1,47,2","501366,1,38,8","502021,1,52,8","504635,1,51,5","505260,1,16,5","506208,1,43,7","506816,1,15,7","509965,1,49,7","511224,1,3,7","515972,1,12,8","516751,1,76,8","518907,1,77,2","519931,1,77,3","520678,1,4,3","523562,1,75,1","524045,1,40,1","525474,1,5,1","529950,2,72,6","532044,2,69,6","532942,2,78,9","533598,2,65,9","535196,2,74,7","541250,2,54,3","542324,2,70,3","544060,2,80,5","544975,2,61,1","547709,2,26,1","550395,2,0,1","554239,2,29,1","556396,2,51,1","559095,2,64,1","589845,2,55,2","590518,2,18,2","606357,2,37,6","625996,-1,64,6","626618,-1,78,6","627344,-1,69,9","628742,-1,74,9","629721,-1,72,7","633439,-1,54,3","637425,-1,70,3","639005,-1,80,5","639827,-1,61,1","640700,-1,26,1","644297,-1,65,1","648359,-1,55,2","651059,-1,18,2","658473,-1,36,6","668379,-1,29,7","670178,-1,19,7","681790,-1,0,5","683081,-1,37,5","686306,-1,10,1","687397,-1,45,1","688874,-1,33,1","698698,-1,30,5","707148,-1,66,2","708934,-1,13,2","718854,-1,12,8","721321,-1,76,8","726749,-1,77,2","727648,-1,77,3","728627,-1,4,3","730882,-1,75,1","732080,-1,5,1","732891,-1,40,1","740930,-1,49,7","741616,-1,3,7","742489,-1,43,7","743561,-1,15,7","744446,-1,16,5","745071,-1,51,5","747909,-1,22,5","748874,-1,68,5","751689,-1,67,5","752234,-1,50,5","753100,-1,52,8","753957,-1,38,8","754733,-1,47,2","755466,-1,41,2","762496,-1,68,4","763392,-1,50,4","767821,-1,67,4","770224,-1,68,5"]	
...9...183825....9.6.......5..4.9.......1.2.........46.4...6......3......5..4..71	["7434,-1,14,1","8413,-1,57,1","29629,-1,15,4","30903,-1,71,4","45885,-1,39,6","46523,-1,29,6","54157,-1,13,7","56826,-1,68,7","60947,-1,48,7","78668,-1,2,5","82897,-1,0,4","84884,-1,23,4","87319,-1,38,4","93085,-1,1,7","99659,-1,36,7","101432,-1,56,7","107614,-1,4,6","108225,-1,16,6","124222,-1,5,2","127152,-1,75,2","139143,-1,21,8","144133,-1,22,3","144663,-1,6,3","147579,-1,74,3","166684,-1,77,8","172203,-1,31,8","176109,-1,43,8","178331,-1,49,2","184947,-1,28,2","187606,-1,33,1","203599,-1,35,7","204222,-1,24,7","205186,-1,34,3","205888,-1,62,3","216945,-1,26,2","219577,-1,25,5","221008,-1,44,5","222373,-1,50,5","225580,-1,41,3","226916,-1,46,3","229037,-1,64,1","232057,-1,37,9","233161,-1,51,9","236203,-1,72,9","236953,-1,20,9","237994,-1,18,1","238632,-1,47,1","240423,-1,45,8","241171,-1,65,8","242460,-1,60,8","251088,-1,69,5","251760,-1,58,5","252548,-1,67,9","253126,-1,61,9","255355,-1,78,6","256395,-1,63,6","257633,-1,54,2","258395,-1,70,2"]	
917.6..84...73.....8.....6...4.1....89.....7.......2..7..3..6....9......4325..8..	["13733,-1,6,3","31408,-1,10,4","38285,-1,5,5","39662,-1,3,2","52323,-1,77,6","69200,-1,14,8","72302,-1,56,8","89994,-1,63,1","91857,-1,59,1","93272,-1,21,1","113140,-1,23,9","113895,-1,22,4","116379,-1,61,4","117082,-1,42,4","131940,-1,15,1","135409,-1,28,2","149285,-1,46,7","150729,-1,32,7","159121,-1,64,6","159970,-1,55,5","192188,-1,33,9","196377,-1,48,9","280387,-1,50,4","283078,-1,66,4","285402,-1,67,8","286572,-1,30,8","287491,-1,53,8","290037,-1,39,6","290912,-1,35,6","306794,-1,41,3","309697,-1,71,3","314231,-1,40,2","315784,-1,68,2","316953,-1,62,2","318695,-1,16,2","320095,-1,18,2","324788,-1,49,5","341009,-1,76,7","341653,-1,69,7","342264,-1,26,7","346531,-1,58,9","348783,-1,17,9","350475,-1,79,9","351758,-1,80,1","352712,-1,52,1","354004,-1,38,1","358531,-1,34,3","364561,-1,20,3","365153,-1,45,3","366115,-1,47,6","366787,-1,9,6","368189,-1,11,5","368704,-1,27,5","370336,-1,24,5","370962,-1,44,5","371384,-1,70,5"]	
