....9....72...58..35....2.........7....38...56..259....8.........76..9.....9..748	["29382,-1,41,7","30796,-1,46,7","47266,-1,54,9","65700,-1,52,8","69108,-1,68,8","79656,-1,5,2","88861,-1,13,3","101871,-1,57,5","104253,-1,70,5","105993,-1,6,5","157930,-1,35,2","159586,-1,61,2","170847,-1,43,9","172722,-1,28,9","178519,-1,47,3","180058,-1,33,3","182395,-1,7,3","192009,-1,42,6","193796,-1,62,6","200742,-1,16,6","207732,-1,71,3","211860,-1,73,3","212987,-1,59,3","215209,-1,60,1","216812,-1,53,1","218150,-1,25,1","223187,-1,30,4","224717,-1,51,4","231376,-1,23,4","247517,-1,22,6","248878,-1,32,6","251454,-1,31,1","253167,-1,77,1","260848,-1,12,1","297327,-1,58,7","299700,-1,67,4","301330,-1,56,4","303552,-1,17,4","306367,-1,26,9","307655,-1,11,9","309923,-1,8,7","311088,-1,21,7","313699,-1,3,8","315158,-1,20,8","316300,-1,27,8","318560,-1,29,5","320080,-1,72,5","323543,-1,76,2","325395,-1,63,2","326739,-1,38,2","331539,-1,64,1","332938,-1,36,1","334256,-1,2,1","337091,-1,37,4","338637,-1,0,4","340755,-1,1,6","342207,-1,74,6"]
...6.....4..23......68....5......7.......869.5.2..14..8........94....3..2.79.5..6	["52824,-1,73,3","66153,-1,34,5","68313,-1,4,5","69780,-1,39,5","74011,-1,60,5","75728,-1,65,5","77050,-1,10,5","80359,-1,16,6","86039,-1,22,1","88543,-1,66,1","104850,-1,55,6","106855,-1,27,6","108635,-1,49,6","110186,-1,68,6","113730,-1,56,1","120551,-1,15,1","122598,-1,79,1","133421,-1,62,9","142587,-1,46,9","197120,-1,48,7","232950,-1,78,8","242194,-1,67,8","248559,-1,58,7","252536,-1,59,2","259695,-1,57,3","261431,-1,32,3","269131,-1,76,4","270801,-1,61,4","272551,-1,8,4","274009,-1,23,4","275398,-1,30,4","276835,-1,38,4","287038,-1,36,3","288900,-1,2,3","290598,-1,25,3","292015,-1,53,3","294896,-1,52,8","296572,-1,17,8","298351,-1,1,8","299841,-1,29,8","303986,-1,0,1","308989,-1,28,1","311336,-1,44,1","314216,-1,37,7","315680,-1,18,7","317399,-1,14,7","318528,-1,7,7","320054,-1,71,7","322286,-1,70,2","323780,-1,35,2","326160,-1,40,2","327908,-1,19,2","329201,-1,6,2","331454,-1,24,9","332813,-1,5,9","334189,-1,11,9","335461,-1,31,9"]
...8..5...8..96.3.3..1......1.5..3.7.7.....1...6....54.....2..1....1..4...24.8...	["5636,-1,15,1","9409,-1,50,1","10858,-1,72,1","12236,-1,2,1","28044,-1,24,4","37074,-1,55,4","50652,-1,58,5","51975,-1,23,5","97580,-1,68,7","100916,-1,78,7","137977,-1,17,2","140003,-1,22,2","157739,-1,69,2","159280,-1,34,2","166864,-1,12,7","169202,-1,49,7","217548,-1,31,6","234477,-1,76,3","237594,-1,5,3","242987,-1,71,3","245299,-1,56,3","246736,-1,46,3","248125,-1,39,3","250977,-1,4,4","257659,-1,48,2","260119,-1,36,2","261535,-1,1,2","269285,-1,40,8","271065,-1,51,8","274735,-1,61,8","276271,-1,26,8","286918,-1,32,9","288934,-1,45,9","300809,-1,41,4","307305,-1,54,7","308842,-1,20,7","310434,-1,7,7","326554,-1,19,9","328131,-1,65,9","329310,-1,57,9","330923,-1,8,9","332263,-1,79,9","333371,-1,42,9","335425,-1,44,6","336661,-1,25,6","338011,-1,0,6","339812,-1,66,6","341215,-1,73,6","342502,-1,60,6","344933,-1,80,5","348721,-1,38,5","349960,-1,9,5","351192,-1,64,5","355194,-1,63,8","356920,-1,29,8","359839,-1,27,4","361050,-1,11,4"]
.9....7.85.2..1....4....6.....83...4...9......6..7.3..8....9..1.........7..6..93.	["54539,-1,13,6","294800,-1,10,8","296970,-1,20,6","299185,-1,20,7","319197,-1,12,7","321540,-1,68,7","323071,-1,61,7","324472,-1,44,7","326187,-1,28,7","329956,-1,71,6","331470,-1,56,6","333144,-1,0,6","346755,-1,17,3","356108,-1,22,9","357688,-1,16,9","359249,-1,53,9","370468,-1,15,4","371878,-1,70,4","374914,-1,74,4","411917,-1,69,8","414729,-1,23,8","416275,-1,76,8","427882,-1,73,1","545356,-1,5,3","549744,-1,18,3","555612,-1,2,1","557259,-1,25,1","677577,0,21,5","679144,0,7,5","684694,0,80,5","699122,0,26,2","702681,0,60,2","704502,0,77,2","725762,1,21,2","727220,1,7,2","729382,1,80,2","737728,1,60,5","739108,1,77,5","748300,1,26,5","753476,1,65,9","755675,1,27,9","762667,1,33,1","765504,1,42,2","769360,1,45,2","770596,1,55,2","772689,1,67,2","773985,1,32,2","783671,1,36,1","785753,1,48,1","802413,-1,21,5","803980,-1,7,5","807441,-1,80,5","813316,-1,26,2","815240,-1,77,2","819829,-1,60,2","829858,2,55,5","832787,2,67,5","843738,2,57,3","857057,2,58,4","858930,2,3,4","862321,2,4,2","863826,2,48,2","875241,2,52,8","876807,2,38,8","879668,2,37,3","880756,2,65,3","885302,2,66,1","886720,2,40,1","887764,2,33,1","889245,2,45,1","891998,2,36,4","893521,2,50,4","899209,2,42,5","901027,2,32,5","902834,2,47,5","905474,2,63,9","906838,2,29,9","909703,2,27,2","910964,2,64,2","912482,2,43,2","914919,2,34,6","916474,2,41,6","931075,3,55,3","932960,3,66,3","938680,3,67,1","940047,3,48,1","943189,3,40,2","944829,3,3,2","947240,3,4,4","948620,3,57,4","953230,3,58,5","971879,3,38,3","980186,3,47,8","981719,3,43,8","984464,3,34,6","985614,3,41,6","991492,3,52,2","993247,3,27,2","994898,3,64,2","998872,3,65,5","1001886,3,37,5","1005022,3,50,5","1006465,3,33,5","1028812,-1,55,5","1034092,-1,57,3","1037073,-1,58,4","1038575,-1,3,4","1041313,-1,4,2","1043041,-1,48,2","1045040,-1,40,1","1046440,-1,33,1","1047788,-1,45,1","1050213,-1,42,5","1063229,-1,52,8","1064701,-1,38,8","1071057,-1,36,4","1072350,-1,50,4","1077025,-1,32,5","1078607,-1,47,5","1080884,-1,41,6","1082181,-1,34,6","1084554,-1,43,2","1086083,-1,27,2","1087303,-1,64,2","1089695,-1,29,9","1091312,-1,63,9","1093741,-1,66,1","1096393,-1,67,5","1098787,-1,65,3","1100073,-1,37,3"]
8.....4.......76.9.4..6....7..3.....3.8..5..4....1..73...1..5....38.6....26....1.	["30707,-1,1,6","47665,-1,55,8","90330,-1,45,6","92162,-1,39,6","121380,-1,63,1","132601,-1,72,5","138184,-1,67,5","144815,-1,46,5","155849,-1,80,8","187116,-1,64,7","194975,-1,40,7","196516,-1,75,7","198072,-1,62,7","199654,-1,24,7","201077,-1,2,7","208355,-1,54,5","210530,-1,54,4","214226,-1,70,4","220955,-1,56,9","222380,-1,18,9","224836,-1,9,2","231938,-1,10,3","237931,-1,78,3","265822,-1,69,9","267551,-1,43,9","269447,-1,28,9","273230,-1,37,1","275095,-1,33,1","278535,-1,11,1","281233,-1,20,5","289240,-1,61,6","290705,-1,35,6","292856,-1,34,5","294785,-1,8,5","296362,-1,12,5","301749,-1,26,1","303747,-1,5,1","307868,-1,13,4","310039,-1,77,4","311351,-1,48,4","312667,-1,29,4","315641,-1,47,2","317242,-1,42,2","319782,-1,71,2","328293,-1,23,8","329828,-1,16,8","331443,-1,31,8","332697,-1,51,8","338024,-1,4,3","339953,-1,25,3","341663,-1,59,3","346525,-1,58,2","348429,-1,32,2","350424,-1,7,2","352066,-1,21,2","354521,-1,3,9","356134,-1,50,9","357507,-1,76,9"]
....2...8...9.74.5.....5.2...9....3.5.7.6.9.1.3......7.2...9.....57.3.1...3.8....	["31841,-1,39,3","34308,-1,41,2","36328,-1,75,2","61013,-1,49,9","71802,-1,21,8","80417,-1,31,7","108370,-1,58,5","110091,-1,1,5","139604,-1,67,4","303498,-1,2,1","305040,-1,24,1","306426,-1,13,1","308402,-1,22,3","311331,-1,6,3","313123,-1,62,3","314931,-1,9,3","320370,-1,7,7","330004,-1,26,9","331761,-1,0,9","335367,-1,79,9","336791,-1,64,9","339711,-1,16,6","348321,-1,11,2","351452,-1,10,8","355285,-1,43,8","358768,-1,37,4","400871,-1,78,5","402692,-1,52,5","404200,-1,30,5","406440,-1,35,4","411765,-1,61,4","413425,-1,72,4","417879,-1,20,4","428694,-1,60,7","429823,-1,73,7","431080,-1,18,7","433388,-1,19,6","438389,-1,54,1","439754,-1,28,1","441407,-1,77,1","442824,-1,48,1","445535,-1,50,4","446895,-1,3,4","449025,-1,5,6","450609,-1,57,6","452527,-1,63,6","453867,-1,47,6","455297,-1,33,6","456854,-1,80,6","461083,-1,69,8","462791,-1,56,8","464727,-1,32,8","466374,-1,45,8","469491,-1,27,2","471106,-1,51,2","472187,-1,71,2"]
...9.3..2.........45.........82.64..2....4..3...5.76..94.....56.........7..6.2..8	["13480,-1,52,2","28078,-1,47,4","62289,-1,49,8","72568,-1,68,9","85393,-1,31,3","92569,-1,40,9","94466,-1,39,1","123218,-1,14,5","125392,-1,6,5","129322,-1,35,5","131799,-1,38,5","134019,-1,63,5","135660,-1,76,5","140033,-1,79,4","141892,-1,17,4","143291,-1,4,4","144865,-1,66,4","159408,-1,37,6","161110,-1,65,6","173468,-1,28,7","184012,-1,46,9","185712,-1,34,9","187219,-1,78,9","188877,-1,26,9","190646,-1,11,9","193640,-1,53,1","195156,-1,27,1","198722,-1,45,3","203805,-1,57,3","218759,-1,64,8","220296,-1,59,8","232350,-1,56,2","234741,-1,10,2","236045,-1,22,2","237605,-1,69,2","241771,-1,23,1","252137,-1,20,3","255542,-1,70,3","257262,-1,15,3","258961,-1,73,3","261366,-1,74,1","263057,-1,1,1","264731,-1,16,1","266197,-1,60,1","267478,-1,67,1","269862,-1,58,7","271600,-1,71,7","274640,-1,2,7","277352,-1,12,7","279963,-1,21,8","281629,-1,7,8","282982,-1,42,8","284705,-1,9,8","287656,-1,43,7","289077,-1,24,7","291930,-1,25,6","293144,-1,13,6","294413,-1,0,6"]
2......58.5.....3...42.8...67....3......4......9....12...8.41...9.6...8371.......	["7879,-1,15,2","29893,-1,63,4","31415,-1,29,4","32872,-1,51,4","34251,-1,17,4","36067,-1,3,4","38048,-1,79,4","41844,-1,79","42487,-1,3","43214,-1,17","43927,-1,51","45307,-1,29","51166,-1,46,4","84260,-1,22,5","118087,-1,74,8","131560,-1,31,8","136285,-1,9,8","137756,-1,37,8","139038,-1,51,8","153252,-1,18,9","162310,-1,19,3","173681,-1,55,2","175619,-1,79,2","177940,-1,67,2","185952,-1,56,6","187505,-1,1,6","207965,-1,54,3","210422,-1,38,3","216251,-1,65,5","223785,-1,62,5","225143,-1,42,5","227569,-1,45,5","232790,-1,36,1","235416,-1,68,1","236750,-1,30,1","238294,-1,26,1","245521,-1,34,4","259749,-1,58,7","261267,-1,69,7","262894,-1,25,7","264323,-1,44,7","268852,-1,24,6","271896,-1,80,6","273454,-1,43,6","278054,-1,35,9","281831,-1,6,9","285019,-1,61,9","289288,-1,78,4","290943,-1,17,4","292423,-1,3,4","314420,-1,32,5","316166,-1,75,5","322535,-1,48,3","326822,-1,50,7","329017,-1,12,7","330222,-1,2,7","332250,-1,11,1","333761,-1,4,1","336958,-1,5,3","338450,-1,76,3","340562,-1,77,9","342389,-1,13,9","343894,-1,39,9","348688,-1,29,2","350929,-1,41,2","354788,-1,49,6","356289,-1,14,6"]
..4.....58..7.3....7.8.6.3.9.6...3.1...............4.7.5.6.....6..5.9..27.2.....4	["41059,-1,38,7","59554,-1,17,6","61167,-1,26,9","68794,-1,62,3","71758,-1,44,8","88212,-1,59,4","92964,-1,64,4","94701,-1,36,4","97742,-1,16,4","99037,-1,22,4","100282,-1,30,4","115942,-1,1,6","138937,-1,32,7","159762,-1,13,5","164525,-1,41,5","165747,-1,34,5","167475,-1,78,5","172640,-1,79,6","174190,-1,42,6","175963,-1,49,6","189548,-1,60,9","191158,-1,73,9","192894,-1,11,9","211036,-1,0,3","215786,-1,65,3","229812,-1,56,8","232654,-1,54,1","275520,-1,58,2","280054,-1,28,2","281295,-1,18,2","283899,-1,15,2","286099,-1,24,1","287742,-1,10,1","289308,-1,47,1","292346,-1,70,1","297396,-1,69,8","299148,-1,7,8","301467,-1,6,7","303036,-1,61,7","304425,-1,67,7","309534,-1,20,5","311043,-1,45,5","319163,-1,46,8","321149,-1,31,8","322653,-1,77,8","326917,-1,5,1","330709,-1,50,2","332740,-1,3,2","334411,-1,43,2","336678,-1,52,9","338382,-1,4,9","340233,-1,39,9","342782,-1,37,3","343938,-1,48,3","345094,-1,76,3","347351,-1,75,1","348664,-1,40,1"]
.....714.37...1............46..9..1....6.5.......7..23........4.3.7...86.2985....	["3902,-1,80,1","34539,-1,65,4","36255,-1,19,4","41787,-1,77,4","57697,-1,72,6","64160,-1,51,6","71580,-1,42,4","73856,-1,48,4","75270,-1,13,4","106250,-1,40,1","108007,-1,57,1","109619,-1,63,1","111953,-1,20,1","113172,-1,46,1","130574,-1,69,5","133629,-1,35,5","142281,-1,68,9","145604,-1,60,2","146893,-1,67,2","155530,-1,50,8","164469,-1,61,9","166104,-1,44,9","167753,-1,45,9","169465,-1,1,9","177097,-1,47,5","179039,-1,55,5","190860,-1,37,8","192566,-1,33,8","202130,-1,43,7","204074,-1,29,7","205940,-1,54,7","207304,-1,78,7","210001,-1,26,7","213311,-1,79,3","214593,-1,24,3","217138,-1,15,9","218883,-1,21,9","224883,-1,38,3","227313,-1,36,2","231691,-1,23,2","232987,-1,30,2","235310,-1,32,3","236736,-1,58,3","238221,-1,3,3","241237,-1,59,6","246914,-1,12,5","248137,-1,25,5","249854,-1,0,5","253028,-1,16,6","254412,-1,2,6","255828,-1,22,6","258935,-1,4,8","260350,-1,17,8","261680,-1,18,8","263207,-1,56,8","265692,-1,11,2","267010,-1,8,2"]
