Stream,Year,Month,Counter,Symmetry,#Solutions,Minutes,Difficulty
1,2014,1,1,none,3,14.150826,1
1,2014,1,2,rotational-broken,1,23.348878,1
1,2014,1,3,mirror-broken,1,9.474001,1
1,2014,1,4,diagonal-broken,1,22.723112,1
1,2014,1,5,diagonal-broken,1,4.487299,0
1,2014,1,6,classic-broken,1,12.316999,1
1,2014,1,7,mirror-broken,1,21.416107,1
1,2014,1,8,diagonal-broken,1,5.258276,0
1,2014,1,9,diagonal-broken,1,9.741870,1
1,2014,1,10,classic-broken,1,5.342472,0
1,2014,1,11,classic-broken,1,12.373899,1
1,2014,1,12,none,1,4.478551,0
1,2014,1,13,classic-broken,1,10.307432,1
1,2014,1,14,rotational-broken,1,7.058274,0
1,2014,1,15,rotational,1,10.577633,1
1,2014,1,16,diagonal-broken,1,11.657153,1
1,2014,1,17,blockwise,1,18.554819,1
1,2014,1,18,classic-broken,1,45.263921,1
1,2014,1,19,classic-broken,1,12.494254,1
1,2014,1,20,blockwise-broken,1,55.413691,1
1,2014,1,21,none,1,10.119143,1
1,2014,1,22,blockwise-broken,1,3.921212,0
1,2014,1,23,blockwise-broken,2,6.106193,0
1,2014,1,24,none,1,20.490013,1
1,2014,1,25,classic-broken,1,3.913326,0
1,2014,1,26,none,1,4.192328,0
1,2014,1,27,none,1,4.394548,0
1,2014,1,28,classic-broken,1,4.229173,0
1,2014,1,29,diagonal-broken,1,4.268399,0
1,2014,1,30,classic-broken,1,9.996393,1
1,2014,1,31,blockwise-broken,1,5.734730,0
1,2014,1,32,blockwise-broken,1,11.546541,1
1,2014,1,33,blockwise,1,2.259433,0
1,2014,1,34,classic-broken,1,5.386445,0
1,2014,1,35,none,1,6.069808,0
1,2014,1,36,classic,1,21.492219,1
1,2014,1,37,mirror-broken,1,12.659943,1
1,2014,1,38,blockwise-broken,1,4.259447,0
1,2014,1,39,blockwise-broken,1,7.701119,0
1,2014,1,40,none,1,13.500611,1
1,2014,1,41,rotational-broken,1,4.048481,0
1,2014,1,42,none,1,20.312760,1
1,2014,1,43,rotational-broken,1,13.804306,1
1,2014,1,44,mirror-broken,1,9.374251,1
1,2014,1,45,classic-broken,1,4.579930,0
1,2014,1,46,diagonal-broken,1,5.620225,0
1,2014,1,47,none,1,13.426290,1
1,2014,1,48,mirror,1,4.572943,0
1,2014,1,49,mirror-broken,1,9.483343,0
1,2014,1,50,blockwise-broken,1,20.030409,1
1,2014,1,51,mirror,1,8.347745,1
1,2014,1,52,diagonal-broken,1,12.503930,1
1,2014,1,53,mirror-broken,2,6.536155,0
1,2014,1,54,none,1,4.448546,0
1,2014,1,55,classic-broken,1,8.512699,0
1,2014,1,56,blockwise-broken,1,18.146263,1
1,2014,1,57,blockwise,1,2.475787,0
1,2014,1,58,none,1,4.465762,0
1,2014,1,59,diagonal-broken,1,36.579827,1
1,2014,1,60,rotational-broken,1,4.799220,0
1,2014,1,61,none,1,4.827032,0
1,2014,1,62,diagonal-broken,1,3.609884,0
1,2014,1,63,mirror,1,4.181215,0
1,2014,1,64,none,1,5.276004,0
1,2014,1,65,double mirror-broken,1,6.283012,0
1,2014,1,66,blockwise-broken,1,10.721916,1
1,2014,1,67,none,1,11.132573,1
1,2014,1,68,blockwise,2,5.959357,0
1,2014,1,69,blockwise-broken,1,16.217145,1
1,2014,1,70,classic-broken,1,6.873935,0
1,2014,1,71,none,1,10.020718,1
1,2014,1,72,classic-broken,1,10.812465,1
1,2014,1,73,classic-broken,2,9.193020,0
1,2014,1,74,rotational-broken,1,12.445366,1
1,2014,1,75,diagonal-broken,1,17.801503,1
1,2014,1,76,classic-broken,1,11.952733,1
1,2014,1,77,mirror-broken,1,25.618589,1
1,2014,1,78,blockwise-broken,1,14.037620,1
1,2014,1,79,none,1,11.251158,1
1,2014,1,80,rotational-broken,1,31.477267,1
1,2014,1,81,blockwise-broken,2,7.400849,0
1,2014,1,82,blockwise-broken,1,8.593044,1
1,2014,1,83,double mirror,1,2.304815,0
1,2014,1,84,none,1,4.476834,0
1,2014,1,85,double mirror,1,2.414309,0
1,2014,1,86,diagonal-broken,3,7.030658,0
1,2014,1,87,mirror-broken,1,6.520724,0
1,2014,1,88,none,1,3.995332,0
1,2014,1,89,rotational-broken,1,4.306266,0
1,2014,1,90,none,1,18.589727,1
1,2014,1,91,mirror-broken,1,5.343436,0
1,2014,1,92,diagonal-broken,1,9.393992,1
1,2014,1,93,mirror-broken,1,4.397057,0
1,2014,1,94,classic,1,7.767438,1
1,2014,1,95,diagonal-broken,1,5.182242,0
1,2014,1,96,classic-broken,1,6.009195,0
1,2014,1,97,classic-broken,1,11.523867,1
1,2014,1,98,classic-broken,1,4.751115,0
1,2014,1,99,classic-broken,1,5.822456,0
1,2014,1,100,mirror-broken,1,13.148456,1
1,2014,2,1,diagonal-broken,1,17.360139,1
1,2014,2,2,classic-broken,1,5.735226,0
1,2014,2,3,mirror-broken,1,6.170876,0
1,2014,2,4,classic-broken,1,4.263597,0
1,2014,2,5,mirror-broken,1,4.975141,0
1,2014,2,6,mirror,1,5.223903,0
1,2014,2,7,rotational-broken,3,7.642677,0
