Puzzle,#Runs,Fraction
1:1:2014-1:1,1,0.869526
1:1:2014-1:1,2,0.863815
1:1:2014-1:1,3,0.905895
1:1:2014-1:1,4,0.969908
1:1:2014-1:1,5,0.988725
1:1:2014-1:1,6,0.999726
1:1:2014-1:1,7,0.977918
1:1:2014-1:1,8,1.00108
1:1:2014-1:1,9,0.978125
1:1:2014-1:1,10,0.971951
1:1:2014-1:1,11,0.968328
1:1:2014-1:1,12,0.996257
1:1:2014-1:1,13,0.986724
1:1:2014-1:1,14,0.974711
1:1:2014-1:1,15,0.976089
1:1:2014-1:1,16,0.983831
1:1:2014-1:1,17,0.974278
1:1:2014-1:1,18,0.975590
1:1:2014-1:1,19,0.974944
1:1:2014-1:1,20,0.975237
1:1:2014-1:1,21,0.977424
1:1:2014-1:1,22,0.983269
1:1:2014-1:1,23,1.00218
1:1:2014-1:1,24,1.01067
1:1:2014-1:1,25,1.01298
1:1:2014-1:1,26,1.00670
1:1:2014-1:1,27,0.998804
1:1:2014-1:1,28,0.991999
1:1:2014-1:1,29,0.998201
1:1:2014-1:1,30,0.997263
1:1:2014-1:1,31,0.992955
1:1:2014-1:1,32,0.989185
1:1:2014-1:1,33,0.985708
1:1:2014-1:1,34,0.982739
1:1:2014-1:1,35,0.990287
1:1:2014-1:1,36,0.995296
1:1:2014-1:1,37,0.998488
1:1:2014-1:1,38,0.998574
1:1:2014-1:1,39,0.999300
1:1:2014-1:1,40,0.993925
1:1:2014-1:1,41,0.998661
1:1:2014-1:1,42,0.998064
1:1:2014-1:1,43,0.995323
1:1:2014-1:1,44,0.991239
1:1:2014-1:1,45,0.987423
1:1:2014-1:1,46,0.990526
1:1:2014-1:1,47,0.987653
1:1:2014-1:1,48,0.995787
1:1:2014-1:1,49,0.993656
1:1:2014-1:1,50,1.00216
1:1:2014-1:1,51,1.00052
1:1:2014-1:1,52,1.00276
1:1:2014-1:1,53,1.00138
1:1:2014-1:1,54,0.997565
1:1:2014-1:1,55,0.993705
1:1:2014-1:1,56,0.990599
1:1:2014-1:1,57,0.991829
1:1:2014-1:1,58,0.994775
1:1:2014-1:1,59,0.997914
1:1:2014-1:1,60,0.995547
1:1:2014-1:1,61,0.997873
1:1:2014-1:1,62,0.995682
1:1:2014-1:1,63,0.995447
1:1:2014-1:1,64,0.994950
1:1:2014-1:1,65,0.994312
1:1:2014-1:1,66,0.997303
1:1:2014-1:1,67,0.994466
1:1:2014-1:1,68,0.996799
1:1:2014-1:1,69,0.999563
1:1:2014-1:1,70,0.997231
1:1:2014-1:1,71,1.00147
1:1:2014-1:1,72,1.00738
